,teamNumber,nameShort,location,latitude,longitude
69,4028,The Beak Squad,"Cincinnati, Ohio",39.1014537,-84.5124602
204,4030,NullPointerException,"nan, Seattle, Washington",47.6546655,-122.30979428415324
1502,4031,4-H Force Team,"Brookville, Pennsylvania",41.1611747,-79.0830924
1503,4034,Pelham πthons Team 4034,"Pelham, New Hampshire",42.734534,-71.3245067
1504,4035,Torbotix,"Orange, New Jersey",33.7147613,-117.7902856
1505,4041,Iron Tigers,"Gardiner, Maine",44.2287343,-69.7722919
1506,4042,Murphy's Lawyers,"South China, Maine",44.3956249,-69.5711544
1507,4043,NerdHerd,"McMinnville, Oregon",45.2100367,-123.194463
1508,4047,Cyber Dogz,"Okland, California",-36.8711434,174.8807346
1509,4048,Redshift,"Westborough, Massachusetts",42.2694308,-71.6129907
1510,4049,Knoch Knights Robotics,"Saxonburg, Pennsylvania",40.7539956,-79.8103943
1511,4050,Biohazard,"Chambersburg, Pennsylvania",39.9405903,-77.6598624
1512,4051,Sabin-Sharks,"Milwaukie, Oregon",45.4440051,-122.6412523
1513,4053,Team Ascension,"Gonzales, Louisiana",30.2385294,-90.9200987
1488,4054,Robo Raiders,"La Crosse, Wisconsin",43.8122836,-91.2514355
1515,4055,NRG4055,"Winchester, Connecticut",41.92485615,-73.059190325
1516,4056,Binary Bot Squad,"Colton, California",34.0739016,-117.3136547
1517,4057,STEAMPUNK ,"Klamath Falls, Oregon",42.224867,-121.7816704
1518,4060,S.W.A.G.,"Chehalis, Washington",46.6599653,-122.963432
1519,4061,SciBorgs,"Pullman, Washington",46.7304268,-117.173895
1520,4063,TriKzR4Kidz,"nan, Del Rio, Texas",-29.9242681,-51.1974371
1152,4064,InZombiacs,"Ocala, Florida",29.1871986,-82.1400923
1522,4065,Nerds of Prey,"Minneola, Florida",28.5744441,-81.7461873
1523,4067,The Incredible Hawk,"Clarksville, Maryland",39.2065447,-76.9429182
1524,4068,Palmer Ridge BEARbotics,"Monument, Colorado",39.068728,-104.81942926787653
421,4073,Robo Kats,"nan, Myrtle Beach, South Carolina",33.6947574,-78.8957826
1526,4074,Shark Bytes,"nan, Murrells Inlet, South Carolina",33.5529766,-79.0466973
730,4075,Robo Tigers,"nan, Conway, South Carolina",33.7953292,-79.01274319680836
1528,4076,CODE 'N' Robotics,"Justin, Texas",33.0848442,-97.2961286
1529,4077,M*A*S*H,"Edmonds, Washington",47.8105738,-122.3774952
1530,4078,Warriors,"La Puente, California",34.0280619,-117.953097
1531,4079,Quantum Leap,"Cypress, California",33.8248235,-118.0399368
456,4080,Team Reboot,"Atlanta, Georgia",33.7489924,-84.3902644
1533,4082,Ranching Robots,"Dayton, Washington",46.323559,-117.972537
1534,4083,The Iron Wolverines,"nan, Dorchester, South Carolina",33.22892535,-80.52255825275665
1535,4085,Technical Difficulties,"Reynoldsburg, Ohio",39.9547861,-82.8121191
639,4087,Falcon Robotics,"New Orleans, Louisiana",29.9759983,-90.0782127
1537,4089,Stealth Robotics,"Duvall, Washington",47.7423219,-121.9856782
1538,4090,Reb Teks,"Fort Smith, Arkansas",35.3784666,-94.3996456
1539,4093,Joe's Average Slackers,"Orleans County, New York",43.2244513,-78.2272835
1540,4096,Ctrl-Z,"nan, Champaign, Illinois",40.294756,-88.156444
1541,4097,Devilbots,"Northampton, Massachusetts",42.3178989,-72.6311006
1542,4098,Viking Robotics Team,"Bristol, Tennessee",36.5945034,-82.1885212
1543,4099,Falcons FIRST,"Poolesville, Maryland",39.146088,-77.4166561
1544,4103,Roborioles,"Avon, Indiana",39.7628227,-86.3997168
1545,4104,Blackhawks,"Cheney , Washington",47.4892246,-117.579304
171,4107,Storm,"Gulfport, Mississippi",30.3674198,-89.0928155
1547,4110,DEEP SPACE NINERS,"brookings, Oregon",42.0523718,-124.28407
790,4111,Some Assembly Required,"nan, Mesa, Arizona",33.4122787,-111.8739828
1549,4112,EagleBots,"Cumming , Georgia",34.2073196,-84.1401926
1550,4114,Pallindrones ,"Hemet, California",33.7475203,-116.9719684
1551,4115,Team Breaking Lights,"Clarksville, Ohio",39.4014502,-83.9813202
1552,4118,Roaring Riptide,"Gainesville, Florida",29.6519684,-82.3249846
1553,4119,AERO (Avon Eagles Robotics Organization),"Avon, Ohio",41.4516512,-82.0350598
516,4120,Jagwires,"Spokane, Washington",47.6571934,-117.42351
1555,4121,Vikings,"North Canton, Ohio",40.875891,-81.4023356
1556,4122,Ossining O-Bots,"Ossining, New York",41.1613168,-73.8620367
1557,4123,Tribe Robotics,"Bellflower, California",33.8825705,-118.1167679
1558,4125,Confidential,"Umatilla, Oregon",45.6416995,-118.7671122
1559,4127,LoggerBots,"Vernonia, Oregon",45.8587229,-123.192892
1560,4130,The Blue Devils,"Richmond, Michigan",42.8091969,-82.7557554
1308,4131,Iron Patriots,"Renton, Washington",47.4799078,-122.2034496
461,4132,Scotbots,"Portland, Oregon",45.5202471,-122.674194
1563,4135,Iron Patriots,"Modesto, California",37.6390972,-120.9968782
862,4137,Wilde Bunch,"Columbia, Maryland",39.1938429,-76.86460919353361
291,4139,Easy as Pi,"nan, San Diego, California",-53.16129205,-70.93304406533326
1566,4141,Monarch Robotics,"nan, Santa Ana, California",-23.5533633,-46.8499088
1567,4143,MARS/ WARS,"Metamora, Illinois",40.7907409,-89.3614407
263,4145,WorBots,"Columbus, Ohio",39.9622601,-83.0007065
1047,4146,Sabercats,"Scottsdale, Arizona",33.4942189,-111.9260184
1570,4150,FRobotics,"Murrysville, Pennsylvania",40.4284015,-79.697545
1571,4151,SCRAP,"Weymouth, Massachusetts",42.2212188,-70.9391625
1572,4153,Project Y,"Los Alamos, New Mexico",35.88137,-106.298959
1573,4154,Perpetual Recursion,"Jefferson City, Missouri",38.577359,-92.1724265
19,4155,SHARC,"nan, Houston, Texas",29.825009,-95.478675
1575,4156,Ninjaneers,"Springfield, Illinois",39.7990175,-89.6439575
1576,4159,CardinalBotics,"nan, San Francisco, California",37.7798139,-122.3911499
291,4160,The RoBucs,"nan, San Diego, California",-53.16129205,-70.93304406533326
1578,4161,T-Birds,"Yucaipa, California",34.033625,-117.0430865
1579,4166,Robostang,"Mora, Minnesota",45.8769031,-93.2938352
1580,4169,Warrior Robotics,"Sudbury, Massachusetts",42.3834278,-71.4161725
1581,4171,BayBots,"Seaside, California",36.62593,-121.8169383456945
1582,4173,Bulldogs,"Mount Vernon, Washington",48.4200462,-122.32642
1583,4174,Mustangs,"Hector, Minnesota",44.7438507,-94.715547
1584,4175,Coded Summit,"Driggs, Idaho",43.7231753,-111.110887
1585,4176,Iron Tigers,"North Easton, Massachusetts",42.0667665,-71.1036592
1586,4179,Tahisco Techs,"Cantonment, Florida",30.605427,-87.344442
204,4180,Iron Riders,"nan, Seattle, Washington",47.6546655,-122.30979428415324
1588,4181,Quack Attack,"Blackduck, Minnesota",47.7333383,-94.548233
1589,4182,Minneota Vikings,"Minneota, Minnesota",44.55885,-95.985586
350,4183,Bit Buckets,"Tucson, Arizona",32.2228765,-110.9748477
737,4186,Alameda Aztechs,"Alameda, California",37.6090291,-121.899142
1592,4187,RoboRams,"Mt. Vernon, Illinois",38.3172715,-88.9031201
1593,4188,Columbus Space Program,"nan, Columbus, Georgia",32.538387,-84.915014
1594,4189,Chargers,"Jefferson, Georgia",33.0380388,-82.436141
1595,4192,The Jaggernauts,"nan, Flower Mound, Texas",33.0384759,-97.0887249
1596,4193,Raptors,"Austell, Georgia",33.8126059,-84.6343783
1597,4195,Genesis,"Rome, Georgia",34.257038,-85.1646726
1598,4198,RoboCats,"Waconia, Minnesota",44.8507957,-93.7869088
99,4201,Vitruvian Bots,"nan, Hawthorne, California",37.7843749,-122.395191
1600,4203,RoboKronos,"Oneonta, New York",42.453492,-75.0629531
1601,4205,ROBOCUBS,"Sedro Woolley, Washington",48.504994,-122.235109
1602,4206,Robo Vikes,"Fort Worth, Texas",32.753177,-97.3327459
1603,4207,PyroBotics,"Victoria, Minnesota",44.8585738,-93.6616266
1208,4209,TigerBytes,"Baton Rouge, Louisiana",30.4507936,-91.1391153
1605,4212,Techno Ferrets,"Galesburg, Illinois",40.9475652,-90.3712169
1606,4213,MetalCow Robotics,"Bloomington, Illinois",40.4797828,-88.9939147
