,teamNumber,nameShort,location,latitude,longitude
19,5070,Gearnotics,"nan, Houston, Texas",29.825009,-95.478675
1178,5071,Chargers,"Draper, Utah",40.5247777,-111.8627989
2002,5072,Raider Robotics,"DeTour, Michigan",46.00843725,-84.00982816486373
2003,5074,RoboMustangs,"Norcross, Georgia",33.9412127,-84.2135309
2004,5077,RoboCards,"Youngstown, Ohio",41.1035786,-80.6520161
589,5082,Northmen Robotics,"Kansas City, Missouri",39.100105,-94.5781416
2006,5084,Team FridgeBot,"Corunna, Michigan",42.9819728,-84.1177451
2007,5085,LakerBots,"Blachly, Oregon",44.1946671,-123.5351506
2008,5086,Cadillac Connectors,"Cadillac, Michigan",44.3353211,-85.5741088
238,5089,Robo-Nerds,"nan, Los Angeles, California",34.0049604,-117.7877947
2010,5090,Torque-Nados,"Trenton, Michigan",42.1406552,-83.1800544
2011,5096,The Teutonic Force,"Germantown, Wisconsin",43.2286174,-88.1103691
2012,5098,STING - R,"North Kansas City, Missouri",39.1432057,-94.5733988
2013,5099,Cyberian Tigers,"Northport, New York",40.9009595,-73.343167
238,5100,Romanoid,"nan, Los Angeles, California",34.0049604,-117.7877947
2015,5101,Braves,"San Carlos, Arizona",33.350750000000005,-110.46703014380023
2016,5102,The Underbots,"nan, Santa Maria, California",-20.2482132,-40.6642259
2017,5103,Jagernauts ,"New Braunfels, Texas",29.7028266,-98.1257348
2018,5104,BreakerBots,"nan, Pacific Grove, California",36.6178677,-121.9059983971547
2019,5106,High Impact Technologies,"Sunderland, Maryland",38.6712298,-76.5980147
548,5109,Gladiator Robotics,"Johns Creek, Georgia",34.0181557,-84.190196
2021,5110,Robo Herd,"Elk Rapids, Michigan",44.895558,-85.416461
516,5111,SaxonBots,"Spokane, Washington",47.6571934,-117.42351
2023,5112,The Gongoliers,Rhode Island,41.7962409,-71.5992372
2024,5113,Combustible Lemons,"Moorestown, New Jersey",39.9670569,-74.9426677
436,5114,Titanium Tigers,"Fenton, Michigan",42.7978061,-83.7049498
192,5115,Knight Riders,"Silver Spring, Maryland",38.9997621,-77.02403709829767
2027,5119,Team STEAM,"nan, Lawrence, Kansas",44.492317,-103.8587961
2028,5122,robOTies,"Old Town, Maine",44.9354209,-68.6464233
764,5123,Mechadogs,"Yonkers, New York",40.9312099,-73.8987469
395,5124,West Torrance Robotics,"Torrance, California",33.8358492,-118.3406288
45,5125,Hawks on the Horizon,"Chicago, Illinois",41.8755616,-87.6244212
2032,5126,Team E.M.P (Park Hill South Robotics),"Riverside, Missouri",39.1775032,-94.6130121
2033,5129,Digital Devils,"Plainville, Connecticut",41.6747938,-72.84266826794263
2034,5130,Undercogs,"nan, LIttle River, South Carolina",33.8842887,-78.60007052182021
2035,5132,RoboClovers,"Winder, Georgia",33.9919085,-83.7184368
542,5134,RoboWolves,"Clovis, California",36.8252277,-119.7029194
2037,5136,Mechapirates,"Santa Ynez, California",34.608637,-120.10467742149733
1491,5137,Iron Kodiaks,"nan, San Marcos, California",-23.6700759,-46.8018586
589,5141,PRIDE Robotics,"Kansas City, Missouri",39.100105,-94.5781416
1805,5142,Robo Dominators,"Hamden, Connecticut",41.339083200000005,-72.94452742665698
2041,5143,ThunderHawks,"Grand Rapids, Minnesota",47.237166,-93.530214
2042,5144,P.R.E.D.A.T.O.R.S,"Adrian, Michigan",41.8975152,-84.0373054
1552,5145,WolfBotics,"Gainesville, Florida",29.6519684,-82.3249846
2044,5146,Rusty Knights,"Hebron, Ohio",39.9617305,-82.4912676
