,teamNumber,nameShort,location,latitude,longitude
1000,2926,Robo Sparks,"Wapato, Washington",46.4476278,-120.420338
1001,2927,Pi Rho Techs,"Graham, Washington",47.0395996,-122.2785729
204,2928,Viking Robotics,"nan, Seattle, Washington",47.6546655,-122.30979428415324
1003,2929,JAGBOTS,"Puyallup, Washington",47.1849009,-122.29214
1004,2930,Sonic Squirrels,"Snohomish, Washington",48.0074736,-121.7304882
204,2942,Panda ER,"nan, Seattle, Washington",47.6546655,-122.30979428415324
516,2944,Titanium Tigers,"Spokane, Washington",47.6571934,-117.42351
1007,2945,Steel Mustangs,"Manitou Springs, Colorado",38.8585777,-104.9178731
986,2950,Devastators,"Waco, Texas",31.549333,-97.1466695
1009,2957,Knights,"Alden, Minnesota",43.6703382,-93.5761961
1010,2959,Robotarians,"Coloma, Michigan",42.1861494,-86.308356
1011,2960,automation nation,"birmingham, Michigan",42.5467012,-83.2113192
247,2961,Crimson Tide Engineers,"nan, Washington, District of Columbia",38.895847950000004,-77.03654431512868
247,2963,AnaDroids,"nan, Washington, District of Columbia",38.895847950000004,-77.03654431512868
247,2964,Robopanthers,"nan, Washington, District of Columbia",38.895847950000004,-77.03654431512868
1015,2966,Tiger Tech,"Pharr, Texas",26.1947962,-98.1836216
196,2969,Hurricane Robotics,"nan, San Antonio, Texas",-23.11081025,-46.9602982923831
1017,2972,RC Dawson,"Lafayette, Colorado",39.9935959,-105.0897058
1018,2973,Mad Rockers,"Madison, Alabama",34.7736807,-86.5675095
1019,2974,Walton Robotics,"Marietta , Georgia",33.9528472,-84.5496148
426,2976,Spartabots,"Sammamish, Washington",47.6088445,-122.0423067
1021,2977,Sir Lancer Bots,"La Crescent, Minnesota",43.8280216,-91.3040274
326,2978,Cavaliers,"St. Louis, Missouri",38.6280278,-90.1910154
1023,2980,The Whidbey Island Wild Cats,"nan, Oak Harbor, Washington",33.7041128,-78.8855426
1024,2984,The Vikings,"La Jolla, California",32.8401623,-117.2740777
