,teamNumber,nameShort,location,latitude,longitude
500,1807,Redbird Robotics,"Allentown , Allentown, New Jersey",40.1711848,-74.58958824950432
501,1810,Jaguar Robotics,"Mill Valley , Shawnee, Kansas",39.0199505,-94.84060228014772
502,1811,FRESH,"East Side , Newark, New Jersey",40.72414395,-74.15882359389647
503,1816,"""The Green Machine""","Edina , Edina, Minnesota",44.913088,-93.3968796987412
504,1818,Team Talos,"Southwood , Shreveport, Louisiana",32.4084452,-93.8162714
505,1825,The Cyborgs,"Kansas City, Missouri",39.100105,-94.5781416
506,1827,THE HIVE,"Center , Kansas City, Missouri",39.097295200000005,-94.57994952435972
507,1828,BoxerBots,"Vail, Arizona",32.0100705,-110.69752810628196
508,1831,Screaming Eagles,"Gilford , Gilford, New Hampshire",43.5995209,-71.3989608
509,1836,The MilkenKnights,"Milken Community School, Los Angeles, California",34.128442500000006,-118.47979248366927
510,1847,W.R.A.T.H (Wyandotte Robotics and Technology Hackers),"Wyandotte , Kansas City, Kansas",39.2123442,-94.8887891
511,1868,Space Cookies,"Mountain View, California",37.3893889,-122.0832101
512,1885,ILITE Robotics,"Battlefield , Haymarket, Virginia",38.8453425,-77.6299884272373
513,1891,Bullbots,"Bishop Kelly , Boise, Idaho",43.60183025,-116.26872906397105
514,1899,Saints Robotics,"Interlake , Bellevue, Washington",47.6301672,-122.1244321309734
515,1902,Exploding Bacon,"4-H, Orlando, Florida",28.5421109,-81.3790304
516,1908,ShoreBots,"Northampton , Eastville, Virginia",37.3529147,-75.9460428
517,1912,Team Combustion,"Slidell, Louisiana",30.2751945,-89.7811745
518,1915,MTHS Firebird Robotics,"Washington, District of Columbia",38.8950368,-77.0365427
519,1918,NC GEARS,"Fremont, Michigan",43.467517,-85.942001
520,1922,Oz-Ram,"Contoocook, New Hampshire",43.2224096,-71.7135465
521,1923,The MidKnight Inventors,"Plainsboro, New Jersey",40.3334409,-74.6004341
522,1927,Tempest,"Biloxi, Mississippi",30.4007626,-88.8893818
523,1939,THE KUHNIGITS,"Kansas City, Missouri",39.100105,-94.5781416
524,1940,Tech Tigers,"Benton Harbor , Benton Harbor, Michigan",42.10277925,-86.45708615182465
525,1965,Firebirds,"Saint Joseph Preparatory , Allston, Massachusetts",42.3524329,-71.14372634738424
526,1967,The Janksters,"Notre Dame , San Jose, California",37.76554485,-122.25535479063663
527,1982,Cougar Robotics,"Shawnee Mission Northwest HS, Shawnee, Kansas",39.00511455,-94.73426906587036
528,1983,Skunk Works Robotics,"4H, Seattle, Washington",47.648464,-122.3768672
529,1986,Team Titanium,"Lees Summit, Missouri",38.8856158,-94.2117959
530,1987,Broncobots,"Lees Summit, Missouri",38.8856158,-94.2117959
531,1989,Viking Robotics,"Vernon Twp , Vernon, New Jersey",41.1914183,-74.5047321
532,1991,Dragons,"Hartford, Connecticut",41.7688459,-72.6816303
533,1994,Quixote,"Kansas City, Kansas",39.1134562,-94.626497
534,1997,Stag Robotics,"Bishop Miege , Roeland Park, Kansas",39.036291750000004,-94.62418006387064
535,2001,HERMES,"Ruskin , Kansas City, Missouri",38.9227847,-94.5138426
536,2010,The Lightning Bots,"Champion , Warren, Ohio",41.2913121,-80.8483168
537,2016,Mighty Monkey Wrenches,"New Jersey School for the Deaf & Ewing , Ewing, New Jersey",40.25466145,-74.81068522453478
538,2022,Titan Robotics,"Aurora, Illinois",41.7571701,-88.3147539
539,2027,Robotic Dragons,"Westbury , Old Westbury, New York",40.7736479,-73.5949253
540,2028,Phantom Mentalist,"Phoebus , Hampton, Virginia",37.0217598,-76.3172471
541,2036,The Black Knights,"Boulder, Colorado",40.0149856,-105.270545
542,2039,Rockford Robotics,"Machesney Park, Illinois",42.3472406,-89.0389956
543,2040,DERT - Dunlap Eagles Robotics Team,"Dunlap , Dunlap, Illinois",40.8548961,-89.67524875490008
544,2046,Bear Metal,"Tahoma , Maple Valley, Washington",47.358312,-122.0210141
545,2048,The Pink Panthers,"Detroit, Michigan",42.3315509,-83.0466403
546,2051,The Beattie Bulldogs,"Allison Park, Pennsylvania",40.5584013,-79.9581094
547,2052,KnightKrawler,"New Brighton, Minnesota",45.0628999,-93.2060969
548,2053,TigerTronics,"Endicott, New York",42.098408,-76.0493684
549,2054,Tech Vikes,"Hopkins , Hopkins, Michigan",42.6236425,-85.7603024
550,2059,The Hitchhikers,"Apex, North Carolina",35.7325352,-78.8505516
551,2062,CORE 2062,"Waukesha, Wisconsin",43.0116784,-88.2314813
552,2064,The Panther Project,Connecticut,41.6500201,-72.7342163
553,2067,Apple Pi,"Guilford, Connecticut",41.2757205,-72.6736148
554,2068,Metal Jackets,"Osbourn Park , Manassas, Virginia",38.763317900000004,-77.44934514692072
555,2073,EagleForce,"Pleasant Grove , Elk Grove, California",38.331579,-121.4638417
556,2075,Enigma Robotics,"West Catholic , Grand Rapids, Michigan",42.9966614,-85.71041445174512
557,2077,Laser Robotics,"Kettle Moraine , Wales, Wisconsin",43.009596450000004,-88.37774137725359
558,2078,Robotic Wolves,"Covington, Louisiana",30.4754702,-90.1009108
559,2079,4H ALARM Robotics,"Franklin, Massachusetts",42.5896205,-72.6110645
560,2080,Torbotics,"Hammond , Hammond, Louisiana",30.5069542,-90.4620786
561,2081,Icarus,"Peoria, Illinois",40.6938609,-89.5891008
562,2083,Team Blitz,"Conifer, Colorado",39.5233424,-105.305499
563,2084,Robots by the C,"Manchester, Massachusetts",42.577873,-70.7689354
564,2085,RoboDogs,"Vaca , Vacaville, California",38.39739815,-121.92441135319565
565,2097,Phoenix Force Robotics,"Raisbeck Aviation , Tukwila, Washington",47.52010695,-122.3029734919242
566,2102,Team Paradox,"Encinitas, California",33.0369867,-117.2919818
567,2106,The Junkyard Dogs,"Goochland , Goochland, Virginia",37.6824439,-77.884925
568,2122,Team Tators,"Boise, Idaho",43.6166163,-116.200886
569,2129,Ultraviolet,"Southwest , Minneapolis, Minnesota",44.9123474,-93.3010387
570,2130,Alpha+,"Bonners Ferry , Bonners Ferry, Idaho",48.694284,-116.3179374
571,2135,Presentation Invasion,"Presentation , San Jose, California",37.2830714,-121.90147526836176
572,2136,Impossible Mission Force,"Chicago, Illinois",41.8755616,-87.6244212
573,2137,The Oxford RoboCats,"Oxford , Oxford, Michigan",42.83813575,-83.26143846814736
574,2143,Team Tobor,"Immanuel Lutheran , Eau Claire, Wisconsin",44.77482825,-91.50531834758077
575,2145,HAZMATs,"Lake Fenton , Linden, Michigan",42.8434829,-83.75217100804682
576,2147,CHUCK,"West Valley , Spokane, Washington",47.61755745,-117.43493497071282
577,2151,Monty Pythons,"Proviso Math & Science Academy, Forest Park, Illinois",41.8650603,-87.83256542883835
578,2152,S*M*A*S*H,"Spruce Creek , Port Orange, Florida",29.07905865,-81.027954341559
