,teamNumber,nameFull,nameShort,city,stateProv,country,rookieYear,robotName,districtCode,schoolName,website,homeCMP
0,1,The Chrysler Foundation/BAE Systems/Hirotec & Oakland Schools Technical Campus--Ne,The Juggernauts,Pontiac,Michigan,USA,1997,,FIM,,,
1,4,BOEING/Sawing Services/Gibbs CAM/SolidWorks/Boston Scientific/WAAG/Roberts Tool Co./Full Scale Effects & High Tech La,Team 4 ELEMENT,Van Nuys,California,USA,1997,,,,,
2,8,Google/Lockheed Martin/Bae Systems/Intuitive Surgical /Fenwick & West LLP/Webcor Builders/NVIDIA/Dropbox/Solidworks/Kirk's Steakburgers & Palo Alto High,Team 8,Palo Alto,California,USA,1996,,,,,
3,11,Siemens/John & Margaret Post Foundation/National Defense Education Program/Givaudan/BAE Systems/ASCO/Chameleon Designs/Mt. Olive School District/Prevision Systems & Mt  Olive High,MORT,Flanders,New Jersey,USA,1997,,MAR,,,
4,16,"Baxter Healthcare Corporation/The Science and Technology Group/Arkansas FIRST/Novak Technical Services, LLC & Mtn Home High Career Academics & Mountain Home Jr. High School",Bomb Squad,Mountain Home,Arkansas,USA,1996,,,,,
5,20,Global Foundries-Town of Malta Foundation/GE Volunteers and the GE Foundation/BAE SYSTEMS/Advanced Manufacturing Techniques Inc./NYSTAR and the Center for Automation Technologies and Systems at Rensselaer Polytechnic Institute & Shenendehowa High School,The Rocketeers,Clifton Park,New York,USA,1992,,,,,
6,21,The Boeing Company/SGT/Planet Fitness of Daytona/School Board of Brevard County/East Coast Machine/NASA GSDO/Indian River Tech/Florida Power & Light & Astronaut High School & Titusville High School,ComBBAT,Titusville,Florida,USA,1998,,,,,
7,25,Bristol-Myers Squibb Co./American Alloy Fabricators/Abbe Lumber/Becton Dickinson & North Brunswick Twp High,Raider Robotix,North Brunswick,New Jersey,USA,1997,,MAR,,,
8,27,BorgWarner/Mclaren Health Care/FCA Foundation/State Of Michigan /Smith's Disposal/Genisys Credit Union/Clarkston Dermatology/DENSO/TRW/BAE/Applied Manufacturing Technologies/3-Dimensional Services/ARC Investments/Recticel North America Inc./Clarkston Rotary/Chase Plastics /De-sta-co/DAWNCo/Financial Benifits Group/DMT Homes /Faurecia/Superior Buick GMC & Clarkston High School,Team RUSH,Clarkston,Michigan,USA,1997,,FIM,,,
9,28,Ancora Yacht Service/Ship Ashore Marina & Pierson Middle/High School,Pierson Whalers,Sag Harbor,New York,USA,1996,,,,,
10,31,Williams/OSDE/AEP/Boeing/National Defense Education Program & Jenks Hs,Prime Movers,Jenks,Oklahoma,USA,1997,,,,,
11,33,Fiat Chrysler Automotive/The FCA Foundation/Innovation First International/TI Automotive/JDM Consulting/Elite Fence Products/Hubbard Spring/Lochbridge/BAE Systems/Aicas & Notre Dame Preparatory,Killer Bees,Auburn Hills,Michigan,USA,1996,,FIM,,,
12,34,Limestone County Board of Education/Limestone County Legislative Delegation/Society of Women Engineers & Limestone County Gifted Program & Limestone Co Area Voc Tech,Rockets,Athens,Alabama,USA,1997,,,,,
13,41,Watchung Hills Reg H,RoboWarriors,Warren,New Jersey,USA,1997,,MAR,,,
