,teamNumber,nameFull,nameShort,city,stateProv,country,rookieYear,robotName,districtCode,schoolName,website,homeCMP
0,1,The Chrysler Foundation/BAE Systems/Hirotec & Oakland Schools Technical Campus--Ne,The Juggernauts,Pontiac,Michigan,USA,1997,,FIM,Oakland Schools Technical Campus--Ne,,CMPMO
1,4,Lockheed Martin/Cooler Master/Sawing Services/Gibbs CAM/SolidWorks/Boston Scientific/WAAG/Full Scale Effects/Raytheon&High Tech La,Team 4 ELEMENT,Van Nuys,California,USA,1997,,,High Tech La,,CMPTX
2,8,Google/Apple/Brin Wojcicki Foundation/NVIDIA/Intuitive Surgical /Webcor Builders/Landec/Hassett hardware/Kirk's Steakburgers/Dropbox&Palo Alto High,Paly Robotics,Palo Alto,California,USA,1996,,,Palo Alto High,,CMPTX
3,11,Siemens/John & Margaret Post Foundation/National Defense Education Program/Givaudan/BAE Systems/ASCO/Chameleon Designs/Mt. Olive School District/Prevision Systems & Mt  Olive High,MORT,Flanders,New Jersey,USA,1997,,MAR,Mt  Olive High,,CMPMO
4,16,Baxter Healthcare Corporation&Mtn Home High Career Academics,Bomb Squad,Mountain Home,Arkansas,USA,1996,,,Mtn Home High Career Academics,,CMPTX
5,20,Global Foundries - Town of Malta Foundation/Bechtel Corporation/GE/BAE SYSTEMS/Advanced Manufacturing Techniques Inc./NYSTAR and the Center for Automation Technologies and Systems at Rensselaer Polytechnic Institute&Shenendehowa High School,The Rocketeers,Clifton Park,New York,USA,1992,,,Shenendehowa High School,,CMPMO
6,21,The Boeing Company/SGT/Planet Fitness of Daytona/School Board of Brevard County/East Coast Machine/NASA GSDO/Indian River Technology llc/Florida Power & Light/State of Florida&Astronaut High School&Titusville High School,ComBBAT,Titusville,Florida,USA,1998,,,Astronaut High School & Titusville High School,,CMPTX
7,25,Bristol-Myers Squibb Co./Picatinny Arsenal. US Dept of Defense/Abbe Lumber/CIMA/North Brunswick Public Schools/Raider Robotix Parent and Mentor Organization & North Brunswick Twp High,Raider Robotix,North Brunswick,New Jersey,USA,1997,,MAR,North Brunswick Twp High,,CMPMO
8,27,BorgWarner/Mclaren Health Care/FCA Foundation/State Of Michigan /Smith's Disposal/Genisys Credit Union/Clarkston Dermatology/DENSO/TRW/BAE/Applied Manufacturing Technologies/3-Dimensional Services/ARC Investments/Recticel North America Inc./Clarkston Rotary/Chase Plastics /De-sta-co/DAWNCo/Financial Benifits Group/DMT Homes /Faurecia/Superior Buick GMC & Clarkston High School,Team RUSH,Clarkston,Michigan,USA,1997,,FIM,Clarkston High School,,CMPMO
9,28,Ancora Yacht Service/Ship Ashore Marina & Pierson Middle/High School,Pierson Whalers,Sag Harbor,New York,USA,1996,,,Pierson Middle/High School,,CMPMO
10,31,Williams/OSDE/AEP/Boeing/National Defense Education Program/Best Buy/Tulsa Stem Alliance&Jenks Hs,Prime Movers,Jenks,Oklahoma,USA,1997,,,Jenks Hs,,CMPTX
11,33,Fiat Chrysler Automobiles/The FCA Foundation/Innovation First International/TI Automotive/JDM Consulting/Elite Fence Products/Hubbard Spring/Lochbridge/BAE Systems/Aicas&Notre Dame Preparatory,Killer Bees,Auburn Hills,Michigan,USA,1996,,FIM,Notre Dame Preparatory,,CMPMO
12,34,Limestone County Board of Education/Limestone County Legislative Delegation/Society of Women Engineers & Limestone County Gifted Program & Limestone Co Area Voc Tech,Rockets,Athens,Alabama,USA,1997,,,Limestone County Gifted Program & Limestone Co Area Voc Tech,,CMPTX
13,41,Watchung Hills Reg H,RoboWarriors,Warren,New Jersey,USA,1997,,MAR,Watchung Hills Reg H,,CMPMO
14,45,"Delphi/AndyMark, Inc./Duke Energy/Foresite/Kokomo Education Foundation/Royal United Mortgage/1Up! Software/HMH Contractors, Inc./Howard County EMA/Indiana Wesleyan University/Kati L. Taylor/Kokomo Area Career Center Collision Repair & Construction Class/Kokomo Area Lions Club/Midwestern Engineers, Inc./Northwest Radiology Network/ProPrints & Kokomo High School",TechnoKats Robotics Team,Kokomo,Indiana,USA,1992,,IN,Kokomo High School,,CMPMO
15,48,Delphi Corporation/Nordson XALOY & Warren G Harding High School,Delphi E.L.I.T.E.,Warren,Ohio,USA,1998,,,Warren G Harding High School,,CMPMO
16,51,GM Powertrain/Delphi/Chrysler Foundation/The Ford Foundation/BAE Systems/Chief Financial Credit Union/Genisys Credit Union/AWG Systems/Methode & Pontiac High School,Wings of Fire,Pontiac,Michigan,USA,1996,,FIM,Pontiac High School,,CMPMO
17,56,Ethicon/Picatinny Arsenal&Bound Brook High,R.O.B.B.E.,Bound Brook,New Jersey,USA,1997,,MAR,Bound Brook High,,CMPMO
18,58,Robotics Institute of Maine/South Portland School Department&South Portland High School,The Riot Crew,South Portland,Maine,USA,1996,,NE,South Portland High School,,CMPMO
19,59,Boca Bearings/CEW Technologies /The Home Depot/State of Florida/University of Central Florida/Florida Atlantic University/Sal Aerospace Engineering (SAE)/Miami Coral Park Senior High School/Beckman Coulter/Florida Power & Light/Bullseye Powder Coating/The Bimonte Family&Miami Coral Park Senior High,RamTech,Miami,Florida,USA,1997,,,Miami Coral Park Senior High,,CMPTX
20,60,"UNS/FCA/Timeless Cruisers/Cascades Tissue Group/KUSD #20 Kingman High School/Kingman Academy of Learning High School/Laron Incorporated/Purvis Industries/Brackett Aircraft/Potters, Inc/Praxair/Sutton Funeral Home/Mohave County Block Grant/I Corp/West Coast Netting/Kingman Regional Medical Center/True Value/Coast Aluminum /Freiday Construction/Data Max and Wecom/Harley Davidson Foundation&Kingman High School&Kingman Academy of Learning - High School&Lee Williams High School",Bionic Bulldogs,Kingman,Arizona,USA,1997,,,Kingman High School & Kingman Academy of Learning - High School & Lee Williams High School,,CMPTX
21,63,Millcreek Township School District/GE Volunteers & Mcdowell Hs,McDowell Robotics Team 63,Erie,Pennsylvania,USA,1997,,,Mcdowell Hs,,CMPMO
22,66,General Motors Corp/Michigan Department of Education/ZF&Ypsilanti STEMM Middle College,Grizzly Robotics,Ypsilanti,Michigan,USA,1998,,FIM,Ypsilanti STEMM Middle College,,CMPMO
23,67,General Motors Milford Proving Ground & Huron Valley Schools,The HOT Team,Highland,Michigan,USA,1997,,FIM,Huron Valley Schools,,CMPMO
24,68,General Motors/Michigan Department of Education/Fiat Chrysler Automobiles Foundation/Esys Automation/Continental Automotive Systems/ARL Service/Cross the Road Electronics/Michigan Renaissance Festival/CEC Controls & Brandon High School & Holly High School,Truck Town Thunder,Ortonville,Michigan,USA,1998,,FIM,Brandon High School & Holly High School,,CMPMO
25,69,General Dynamics Bluefin Robotics&Quincy Public Schools,HYPER,Quincy,Massachusetts,USA,1998,,NE,Quincy Public Schools,,CMPMO
26,70,General Motors/State of Michigan/Fiat Chrysler Automotive Foundation/Kettering University/Patti Engineering/Leoni/Midstates Bolt & Screw Co./Mid Michigan Robotics Alliance/Polyflex Products/Graff Chevrolet/Todd Wenzel Buick&Goodrich High School,More Martians,Goodrich,Michigan,USA,1998,,FIM,Goodrich High School,,CMPMO
27,71,School City of Hammond/Caterpillar/City of Hammond/Bemcor International & Area Career Center,Team Hammond,Hammond,Indiana,USA,1996,,IN,Area Career Center,,CMPMO
28,74,Haworth Inc./Profile Films/SpinDance/Russells Technical Products/EBW Electronics/A.D. Bos Vending Services/Magna/Trans-Matic/River City Metals/S2 Yachts/Hann Persinger P.C.&Holland High School&Black River Public School,Team C.H.A.O.S.,Holland,Michigan,USA,1995,,FIM,Holland High School & Black River Public School,,CMPMO
29,75,J&J Consumer & Personal Products Worldwide/Summit Associates/Richmond Foundation/Draftek Design/Kuchavik Consulting & Design/Picatinny Arsenal/Rutgers Dept of Physics and Technology/Active Disposal&Hillsborough High,RoboRaiders,Hillsborough,New Jersey,USA,1996,,MAR,Hillsborough High,,CMPMO
30,78,Naval Undersea Warfare Center/DoD STEM/KVH Industries/Raytheon/Rite-Solutions/CVS Health Foundation&Aquidneck Island Robotics 4-H Club,AIR STRIKE,Newport,Rhode Island,USA,1996,,NE,Aquidneck Island Robotics 4-H Club,,CMPMO
31,79,"Honeywell Aerospace/Career Technical Education Foundation, Inc./GE & East Lake High School",Team Krunch,Tarpon Springs ,Florida,USA,1998,,,East Lake High School,,CMPTX
32,81,Honeywell/Freeport School District 145/Ultrasonic Power Corporation/Trez Turning/Morse Electric/Kiwanis Clubs of Freeport/RestorX/Papa Murphy's/Atkins Energy/Culver's of Freeport & Freeport High School & Lena-Winslow High School,MetalHeads,Freeport,Illinois,USA,1994,,,Freeport High School & Lena-Winslow High School,,CMPMO
33,85,"Herman Miller Foundation/System Components, Inc/Trans-matic/NUVAR Incorporated/ITW  Drawform/Request Foods/Lakeshore Cutting/Mead Johnson Nutritionals/ODL/Gentex/Midway Machine Techlologies/Town & Country Group/Plascore/Consumers Energy/Global Concepts/Disher/JR Automation&Zeeland West High School&Zeeland East High School",B.O.B. (Built on Brains),Zeeland,Michigan,USA,1996,,FIM,Zeeland West High School & Zeeland East High School,,CMPMO
34,86,"JEA/VISTAKON Johnson and Johnson Vision Care Products/Black and Veatch Engineering/Johnson Controls, Inc. & Stanton College Preparatory",Team Resistance,Jacksonville,Florida,USA,1998,,,Stanton College Preparatory,,CMPTX
35,87,Lockheed Martin/COMCAST-NBC Universal/DoDSTEM/CPS Metals/Rita's Italian Ice/AndyMark/Chick-Fil-A&Rancocas Valley Reg H,Red Devils,Mount Holly,New Jersey,USA,1997,,MAR,Rancocas Valley Reg H,,CMPMO
36,88,Harpak-ULMA / Highland Power Corp & Bridgewater-Raynham Reg,TJ(Squared),Bridgewater,Massachusetts,USA,1996,,NE,Bridgewater-Raynham Reg,,CMPMO
37,93,Plexus Corp./Appleton Area School District & Tesla Engineering Charter School & East High & North High & West High,NEW Apple Corps,Appleton,Wisconsin,USA,1997,,,Tesla Engineering Charter School & East High & North High & West High,,CMPMO
38,94,Lear Corporation/Denso/FORD MOTOR COMPANY&Southfield High School,The  Ninetyfouriors,Southfield,Michigan,USA,1998,,FIM,Southfield High School,,CMPMO
39,95,Hartford Area Career and Technology Center/Byrne Foundation/Hypertherm/SolidWorks&Hartford Area Career and Technology Center,Grasshoppers,White River Junction,Vermont,USA,1997,,NE,Hartford Area Career and Technology Center,,CMPMO
40,97,"Akamai Technologies/Draper Laboratories/Vecna Technologies, Inc & Cambridge Rindge and Latin",Bionic Beef,Cambridge,Massachusetts,USA,1996,,NE,Cambridge Rindge and Latin,,CMPMO
41,100,Woodside High School Foundation/Sequoia Union High School District/Tate Family/Lawrence Searcy/Solutions2Projects/Intuitive Surgical/Nvidia/Woodcraft/Blach Construction Company/Jo Mar Labs/SolidWorks/Alan Steel and Supply Company&Woodside High,The WildHats,Woodside,California,USA,1995,,,Woodside High,,CMPTX
42,101,ClusterBlue /Friends of Striker&St Patrick High School,Striker,Chicago,Illinois,USA,1997,,,St Patrick High School,,CMPMO
43,102,"Janssen Pharmaceuticals Inc./Piccatinny Arsenal/Air Liquide/PSEG/Central Jersey Trailer and Hitch LLC/Alloy Welding Company, Inc./Gerber Metal Supply Company/Dr. Victor J. Bauer & Somerville High",The Gearheads,Somerville,New Jersey,USA,1998,,MAR,Somerville High,,CMPMO
44,103,"Tohickon Glass & Tile/The Triagiano Foundation/Global Biocides Solutions LLC/Hubbell/Pleasant Valley Auto Care/Amplifier Research/Lutron Electronics, Inc/PHTool/Fred Beans Automotive/Stokes Manufacturing/Harro Hoflinger/Client Link&Palisades Hs",Cybersonics,Kintnersville,Pennsylvania,USA,1997,,MAR,Palisades Hs,,CMPMO
45,107,Metal Flow/Tommy's Express Car Wash/JR Automation/World Class Prototypes/Koops/Twisthink&Holland Christian High School,Team R.O.B.O.T.I.C.S.,Holland,Michigan,USA,1997,,FIM,Holland Christian High School,,CMPMO
46,108,Motorola Solutions Foundation/Florida Power & Light/Broward County Public Schools/Apex Machine Company&Dillard High School,SigmaC@T Robotic Team,Fort Lauderdale,Florida,USA,1995,,,Dillard High School,,CMPTX
47,111,"Motorola Solutions Foundation/Bosch/Methode Electronics/Bosch Rexroth/Township High School District 214/Numerical Precision, Inc./Nu-Way Industries/Lendrix/Magnetic Inspection Laboratory/Just Manufacturing/Automatic Precision & Elk Grove High School & Buffalo Grove High School & Rolling Meadows High School & Wheeling High School & Prospect High School & John Hersey High School",WildStang,Arlington Heights,Illinois,USA,1996,,,Buffalo Grove High School & Elk Grove High School & Rolling Meadows High School & Wheeling High School & Prospect High School & John Hersey High School,,CMPMO
48,114,Google/Nvidia/Apple/Intuitive Surgical/Applied Welding Technology/Advanced Component Technology/Los Altos High School&Los Altos High,Eagle Strike,Los Altos,California,USA,1997,,,Los Altos High,,CMPTX
49,115,"Fremont Union High School Foundation/Apple/Qualcomm/Intuitive Surgical/Brin-Wojcicki Foundation/Western Digital/Apprion, Inc/Lockheed Martin/EMC2/De Anza College Machine Shop/Pinnacle Manufacturing & Monta Vista High",MVRT,Cupertino,California,USA,1998,,,Monta Vista High,,CMPTX
50,116,"NASA/NASA Headquarters/The PTR Group, Inc./NexVortex/Mach5 & Herndon High",Epsilon Delta,Herndon,Virginia,USA,1996,,CHS,Herndon High,,CMPMO
51,117,4moms/The Heinz Endowments /Google&Pittsburgh Allderdice Hs,The Steel Dragons,Pittsburgh,Pennsylvania,USA,1998,,,Pittsburgh Allderdice Hs,,CMPMO
52,118,NASA/NASA-JSC & Clear Creek H S,Robonauts,League City,Texas,USA,1997,,,Clear Creek H S,,CMPTX
53,120,NASA/NASA Glenn Research Center/Cuyahoga Community College/GrafTech Corporation/Rockwell Automation & Youth Technology Academy,Cleveland's Team,Cleveland,Ohio,USA,1995,,,Youth Technology Academy,,CMPMO
54,121,NDEP/Raytheon/Town of Middletown/Blowfish/Ferreira-Fenton Fund & Middletown High School,Rhode Warriors,Middletown,Rhode Island,USA,1996,,NE,Middletown High School,,CMPMO
55,123,"General Motors Foundation/General Trucking/Ford Motor/Design Systems, Inc/Wayne Metro Community Action Agency /NuVue Foods/National Instruments/DADARA/State of Michigan&Hamtramck High School",Team - Cosmos,Hamtramck,Michigan,USA,1997,,FIM,Hamtramck High School,,CMPMO
56,125,Northeastern University / Textron Systems / Sonos Inc. / United Technologies / National Grid / PTC / BAE Systems & Boston Latin & Brookline High & Revere High,NUTRONs,Boston,Massachusetts,USA,1998,,NE,Boston Latin & Brookline High & Revere High,,CMPMO
57,126,Nypro Inc. & Clinton Senior High,Gael Force,Clinton,Massachusetts,USA,1992,,NE,Clinton Senior High,,CMPMO
58,128,"American Electric Power/Grandview Heights Marble Cliff Education Foundation/Grandview Bobcat Boosters, Inc. & Grandview Heights High School",The Botcats,Grandview Heights,Ohio,USA,1997,,,Grandview Heights High School,,CMPMO
59,131,"BAE SYSTEMS/Rockwell Automation/Solid Works/Intelitek Inc/CHAOS Families/Cronin Bisson & Zalinsky, Attorneys at Law/C.H.A.O.S Alumni/Queen City Rotary Club&Manchester Central High School& 4-H Hillsborough County, NH",C.H.A.O.S.,Manchester,New Hampshire,USA,1992,,NE,"Manchester Central High School &  4-H Hillsborough County, NH",,CMPMO
60,133,ITS Inc./Lockheed Martin/Robotics Institute of Maine & Bonny Eagle High School,B.E.R.T.,Standish,Maine,USA,1997,,NE,Bonny Eagle High School,,CMPMO
61,135,PHM Educational Foundation/Renesas & Penn High School,Penn Robotics,Mishawaka,Indiana,USA,1998,,IN,Penn High School,,CMPMO
62,136,"Plainfield Board of Education / Ivy Visions, Inc. & Plainfield High",Killer Kardinals,Plainfield,New Jersey,USA,1997,,MAR,Plainfield High,,CMPMO
63,138,Monarch Instrument / Rockwell Automation / BAE Systems / SvenGrafik / Control Air / John Alberts Welding / Rapid Sheet Metal / Amherst Lions Club / County Stores / BB Mold & Souhegan Coop High School,Entropy,Amherst,New Hampshire,USA,1996,,NE,Souhegan Coop High School,,CMPMO
64,141,"JR Automation Technologies, LLC/Holland Board of Public Works/Koop & Burr Insurance/Bradford Company/Engineered Automation Systems, Inc./Suntec Services/Rutherford & Associates/Egemin Automation/Tric Tool, Ltd.  & West Ottawa High School Campus",WOBOT,Holland,Michigan,USA,1995,,FIM,West Ottawa High School Campus,,CMPMO
65,144,"Clippard Instruments/HydroTech/P&G/The Kroger Company/Skyline Chili/JWF Technologies/Earl and Florence Simmons Foundation/Millennium Business Solutions/YAC Robotics/Cincinnati Test Systems/MSA, Architects/Northgate Greenhouses/Niemann Plumbing/Craftsman Electric/TP Mechanical &Butler Tech - Colerain High School&Butler Tech - Northwest High School",The R.O.C.K,Cincinnati,Ohio,USA,1994,,,Butler Tech - Colerain High School & Butler Tech - Northwest High School,,CMPMO
66,145,NY Tech Valley FIRST Sponsors / Follett Foundation / Greater Norwich Foundation / Otis Thompsen Foundation / Anna Mabey Foundation / Peptis Foundation / The Balloon Detail & Norwich High School & Sherburne-Earlville Senior High School & Unadilla Valley High School,T-Rx,Norwich,New York,USA,1997,,,Norwich High School & Sherburne-Earlville Senior High School & Unadilla Valley High School,,CMPMO
67,148,Innovation First International/L-3 Mission Integration/Texas Workforce Commission & GREENVILLE H S,Robowranglers,Greenville,Texas,USA,1992,,,Greenville H S,,CMPTX
68,151,MakeIt Labs/GHO Ventures/Parker Hannifin/Benchmark Electronics/BAE Systems/3rd Degree Safety Solutions/Northeast Delta Dental/Think For Fun/RBC Generational Wealth Management Group/Pat Clancy Realty LLC&Family/Community,Tough Techs,Nashua,New Hampshire,USA,1992,,NE,Family/Community,,CMPMO
69,155,"United Techologies Pratt & Whitney Division, East Hartford, CT & Berlin High School & Catherine M. Mcgee Middle School",The Technonuts,Berlin,Connecticut,USA,1994,,NE,Berlin High School & Catherine M. Mcgee Middle School,,CMPMO
