,teamNumber,nameFull,nameShort,city,stateProv,country,rookieYear,robotName,districtCode,schoolName,website,homeCMP
0,1,FCA Foundation/Hirotec America/Molex&Oakland Schools Technical Campus Northeast,The Juggernauts,Pontiac,Michigan,USA,1997,,FIM,Oakland Schools Technical Campus Northeast,,CMPMI
1,4,Boston Scientific/Aerojet Rocketdyne/Raytheon/Lockheed Martin/Sawing Services/SolidWorks/WAAG/Full Scale Effects/Environtology/Avery Dennison/ABACORP CNC Machined Parts/Center for Autism and Related Disorders&High Tech Los Angeles,Team 4 ELEMENT,Van Nuys,California,USA,1997,,,High Tech Los Angeles,,CMPTX
2,8,Apple/Bayer Fund/KLA Foundation/Arm Inc./TE Connectivity/BAE Systems/Intuitive Foundation/Markforged/Robby Technologies/Notion/Kirk’s Steakburgers/Emotiv/Solidworks/Asian Box/D&K Precision Sheet Metal/Dropbox&Palo Alto High School,Paly Robotics,Palo Alto,California,USA,1996,,,Palo Alto High School,,CMPTX
3,11,Siemens / National Defense Education Program / BAE Systems / ABB / Chameleon Designs / Nokia / LGS Innovations / Mt. Olive School District & Mt Olive High School,MORT,Flanders,New Jersey,USA,1997,,FMA,Mt Olive High School,,CMPMI
4,16,Baxter Healthcare Corporation & Mountain Home HS Career Acad,Bomb Squad,Mountain Home,Arkansas,USA,1996,,,Mountain Home HS Career Acad,,CMPTX
5,20,Global Foundries - Town of Malta Foundation / Ignite U powered by NYSTEC / BAE SYSTEMS / GE / Advanced Manufacturing Techniques Inc. / NYSTAR and CATS at Rensselaer Polytechnic Institute / KLA Foundation & Shenendehowa High School,The Rocketeers,Clifton Park,New York,USA,1992,,,Shenendehowa High School,,CMPMI
6,21,The Boeing Company/Lockheed Martin/School Board of Brevard County/Barn Light Electric/DoD STEM/Planet Fitness of Daytona/NASA EGS/State of Florida/Florida Power & Light/Teledyne Marine/Indian River Technology llc/American Muscle&Astronaut High School&Titusville High School,ComBBAT,Titusville,Florida,USA,1998,,,Astronaut High School & Titusville High School,,CMPTX
7,23,Pilgrim Nuclear/Entergy Corporation & Plymouth North High School,PNTA Pilgrim Nuclear Technology Alliance,Plymouth,Massachusetts,USA,1995,,NE,Plymouth North High School,,CMPMI
8,25,"Bristol-Myers Squibb Co./Neil Parikh/Picatinny Arsenal. US Dept of Defense/Rutgers University, Department of Engineering/CIMA/L3Harris Corporation/North Brunswick Public Schools/Raider Robotix Parent and Mentor Organization&North Brunswick Township HS",Raider Robotix,North Brunswick,New Jersey,USA,1997,,FMA,North Brunswick Township HS,,CMPMI
9,27,"TLS Productions/The Diez Group/BorgWarner/Continental Structural Plastics/Mclaren Health Care/Woodworth Incorporated/FCA Foundation/Techmode, LLC/Dickinson & Wright/Lawrence Plastics /DOD Stem/Bruce Hynes/AMT /RUSH Alumni/David and Alana Dorr/Genisys Credit Union/ARC Investments/BAE Systems/Bradford & Bethel, LLP/C&S Holding/Carl T Walsh II/Clarkston Rotary /Clarkston Rotary/Clarkston Coney Island/Continental Auto/Delphi Technologies/Ed & Helen Glowski /Gardner White /Industrial Furnace Interiors /K & S Ventures /Lifetime /Mint Steel Forge /Novation Analytics LLC/Power Home Solar /Safe N' Simple /Speciality Tooling Systems, INC/Teen Street Skills /Vibe Credit Union &Clarkston High School",Team RUSH,Clarkston,Michigan,USA,1997,,FIM,Clarkston High School,,CMPMI
10,28,Pierson Middle High School,Pierson Whalers,Sag Harbor,New York,USA,1996,,,Pierson Middle High School,,CMPMI
11,31,Best Buy/Jenks Public Schools/Department of Defense Education Program/AEP/Victoria Capital Mortgage Company/Williams/AT&T/Hilti&Jenks High School,Prime Movers,Jenks,Oklahoma,USA,1997,,,Jenks High School,,CMPTX
12,33,Fiat Chrysler Automobiles/The FCA Foundation/Innovation First International/TI Automotive/Elite Fence Products/Hubbard Spring/BAE Systems/The Woodbridge Group & Notre Dame Preparatory,Killer Bees,Auburn Hills,Michigan,USA,1996,,FIM,Notre Dame Preparatory,,CMPMI
13,34,Limestone County Legislative Delegation/Boeing/Limestone County Board of Education & Limestone Co Career Tech Ctr & Family/Community,Rockets,Athens,Alabama,USA,1997,,,Family/Community & Limestone Co Career Tech Ctr,,CMPTX
14,41,Picatinny Arsenal/The Knotts Company/Nokia Bell Labs/Picut Manufacturing/Warren Lions Club/Intuitive Surgical/Thor Labs/P&R Fasteners Inc./Advent Industrial/Offaly Associates LLC/Advanced Circuits/Watchung Hills Education and Technology Foundation&Watchung Hills Reg High School,RoboWarriors,Warren,New Jersey,USA,1997,,FMA,Watchung Hills Reg High School,,CMPMI
15,45,"Kokomo School Corporation/Duke Energy/Best Buy/AndyMark, Inc./Kokomo Education Foundation/Solidarity Federal Credit Union/InMaC/Bayer Fund&Kokomo High School",TechnoKats Robotics Team,Kokomo,Indiana,USA,1992,,IN,Kokomo High School,,CMPMI
16,48,Aptiv Foundation / Aptiv / Nordson XALOY & Warren G Harding High School,Team E.L.I.T.E.,Warren,Ohio,USA,1998,,,Warren G Harding High School,,CMPMI
17,51,GM Propulsion Systems/APTIV/Delphi Foundation/Ford Foundation/BAE Systems/The School Disrict of the City of Pontiac&Pontiac High School,The Wings of Fire,Pontiac,Michigan,USA,1996,,FIM,Pontiac High School,,CMPMI
18,56,Ethicon/Picatinny Arsenal/Department of Defense (DoD)/JM Staffing Solutions/Fraternal Order of Eagles - Somerset Aerie #2137/IBM/Bound Brook Elks Lodge #1388/L3Harris Technologies/Bound Brook/Somerset Moose Lodge #988&Bound Brook High School,R.O.B.B.E.,Bound Brook,New Jersey,USA,1997,,FMA,Bound Brook High School,,CMPMI
19,58,South Portland School Department/Robotics Institute of Maine/Building STEAM&South Portland High School,The Riot Crew,South Portland,Maine,USA,1996,,NE,South Portland High School,,CMPMI
20,59,RamTech 59 from Miami Coral Park Senior High / Motorola Solutions Foundation / Florida Power & Light / State of Florida / Miami Coral Park Adult Education Center / Harris Corporation / Beckman Coulter / Exponent / Festo / Suncoast Elevator Solutions / RC Interiors / Ramtech Robotics Summer Camp / Vila Auto Center / Seaboard Marine / The Home Depot & Miami Coral Park Sr High Sch,RamTech,Miami,Florida,USA,1997,,,Miami Coral Park Sr High Sch,,CMPTX
21,60,FCA/UNS/Purvis Industries/Brackett Aircraft/Laron Inc/Praxair a Linde Company/Altice (Suddenlink)/Communications Specialists/I Corp/Romer Beverage/True Value/Barkhurst Electric/American Woodmark/Call Center USA/Freiday Construction/Drinking Age Motors/Leggett Engineering/Station 66/Wolfe Distributing/JM Eagle/M-14P Inc/Kingman Diesel Repair/Shelves West/Heaven's Scent Florist/Northrop Grumman/Vito's/Kingman Food Bank/Sysco Foods/Peterson Burge Del Oro Foods & Kingman High School & Kingman Academy of Learning HS & Lee Williams High School,Kingman FIRST Robotics Team 60 (The Bionic Bulldogs),Kingman,Arizona,USA,1997,,,Kingman High School & Kingman Academy of Learning HS & Lee Williams High School,,CMPTX
22,61,TE Connectivity / Foster-Miller & Blackstone Vly Reg Voc Tech HS,The Intimidators,Upton,Massachusetts,USA,1995,,NE,Blackstone Vly Reg Voc Tech HS,,CMPMI
23,63,GE Transportation and GE Digital Solutions / Merit Industries / Millcreek Township School District / GE Volunteers & Mcdowell Senior High School,McDowell Robotics Team 63,Erie,Pennsylvania,USA,1997,,,Mcdowell Senior High School,,CMPMI
24,66,General Motors Corp/Michigan Department of Education/ZF&Ypsilanti STEMM Middle College,Grizzly Robotics,Ypsilanti,Michigan,USA,1998,,FIM,Ypsilanti STEMM Middle College,,CMPMI
25,67,General Motors Milford Proving Ground & Huron Valley Schools,The HOT Team,Highland,Michigan,USA,1997,,FIM,Huron Valley Schools,,CMPMI
26,68,General Motors/Michigan Department of Education/Fiat Chrysler Automobiles Foundation/Magna/Smith Foundation/Delphi Technologies/Thyssen-Krupp/Treasured Roses&Brandon High School,Truck Town Thunder,Ortonville,Michigan,USA,1998,,FIM,Brandon High School,,CMPMI
27,69,P & G Gillette&Quincy Public Schools,HYPER,Quincy,Massachusetts,USA,1998,,NE,Quincy Public Schools,,CMPMI
28,70,General Motors / State of Michigan / Fiat Chrysler Automotive Foundation / Kettering University / Patti Engineering / Leoni / Midstates Bolt & Screw Co. / Mid Michigan Robotics Alliance / Polyflex Products / Spentech / Ford Motor & Goodrich High School,More Martians,Goodrich,Michigan,USA,1998,,FIM,Goodrich High School,,CMPMI
29,71,School City of Hammond/Caterpillar/City of Hammond/Bemcor International/Tri State Automation&Area Career Center,Team Hammond,Hammond,Indiana,USA,1996,,IN,Area Career Center,,CMPMI
