,teamNumber,nameFull,nameShort,city,stateProv,country,rookieYear,robotName,districtCode,schoolName,website,homeCMP
0,1,The Chrysler Foundation/BAE Systems/Hirotec & OAKLAND SCHOOLS TECHNICAL CAMPUS--NE,The Juggernauts,Pontiac,Michigan,USA,1997,,FIM,,,
1,4,NASA/BOEING/Sawing Services/Gibbs CAM/SolidWorks/Boston Scientific/Roddenberry Foundation/HAAS Automation/WAAG/KAHN Tools/Roberts Tool Co./Full Scale Effects & HIGH TECH LA,Team 4 ELEMENT,Van Nuys,California,USA,1997,,,,,
2,8,Google/Medallia/Intuitive Surgical /Lockheed Martin/Callan Associates/Solidworks/Dropbox & PALO ALTO HIGH,Team 8,Palo Alto,California,USA,1996,,,,,
3,11,Siemens/John & Margaret Post Foundation/National Defense Education Program/Givaudan/BAE Systems/ASCO/Chameleon Designs/Mt. Olive School District/Prevision Systems & MT  OLIVE HIGH,MORT,Flanders,New Jersey,USA,1997,,MAR,,,
4,16,"Baxter Healthcare Corporation/The Science and Technology Group/Arkansas FIRST/Novak Technical Services, LLC & MTN HOME HIGH CAREER ACADEMICS & MOUNTAIN HOME JR. HIGH SCHOOL",Bomb Squad,Mountain Home,Arkansas,USA,1996,,,,,
5,20,Global Foundries-Town of Malta Foundation/GE Volunteers and the GE Foundation/BAE SYSTEMS/Advanced Manufacturing Techniques Inc./NYSTAR and the Center for Automation Technologies and Systems at Rensselaer Polytechnic Institute & SHENENDEHOWA HIGH SCHOOL,The Rocketeers,Clifton Park,New York,USA,1992,,,,,
6,21,The Boeing Company/SGT/Planet Fitness of Daytona/School Board of Brevard County/East Coast Machine/NASA GSDO/Indian River Tech & ASTRONAUT HIGH SCHOOL & TITUSVILLE HIGH SCHOOL,ComBBAT,Titusville,Florida,USA,1998,,,,,
7,25,Bristol-Myers Squibb Co./American Alloy Fabricators/Distinct Engineering Solutions Inc/Becton Dickinson/Day Tool Co. & NORTH BRUNSWICK TWP HIGH,Raider Robotix,North Brunswick,New Jersey,USA,1997,,MAR,,,
8,27,BorgWarner/The Chrysler Foundation/Mclaren Health Care/Smith's Disposal/Clarkston Dermatology/Henkel /Applied Manufacturing Technologies/Genisys Credit Union/3-Dimensional Services/Recticel North America Inc./Magna Powertrain/Guardian Industries/De-Sta-Co & CLARKSTON HIGH SCHOOL,Team RUSH,Clarkston,Michigan,USA,1997,,FIM,,,
9,28,Ship Ashore Marina & PIERSON MIDDLE/HIGH SCHOOL,Pierson Whalers,Sag Harbor,New York,USA,1996,,,,,
10,31,Williams/OSDE/AEP & JENKS HS,Prime Movers,Jenks,Oklahoma,USA,1997,,,,,
11,33,Fiat Chrysler Automotive/The Chrysler Foundation/BAE Systems/TI Automotive/JDM Consulting/Elite Fence Products/Lochbridge/Aicas & Notre Dame Preparatory,Killer Bees,Auburn Hills,Michigan,USA,1996,,FIM,,,
12,34,Limestone County Board of Education/NASA & LIMESTONE CO AREA VOC TECH & Limestone County Gifted Program,Rockets,Athens,Alabama,USA,1997,,,,,
13,41,WATCHUNG HILLS REG H,RoboWarriors,Warren,New Jersey,USA,1997,,MAR,,,
14,45,"Delphi/AndyMark, Inc./Duke Energy/Foresite & KOKOMO HIGH SCHOOL",TechnoKats Robotics Team,Kokomo,Indiana,USA,1992,,IN,,,
