,teamNumber,nameFull,nameShort,city,stateProv,country,rookieYear,robotName,districtCode,schoolName,website,homeCMP
0,1,FCA Foundation/Hirotec America/Molex&Oakland Schools Technical Campus Northeast,The Juggernauts,Pontiac,Michigan,USA,1997,,FIM,Oakland Schools Technical Campus Northeast,,CMPTX
1,4,Aerojet Rocketdyne/Raytheon/Sawing Services/SolidWorks/Full Scale Effects/Environtology/Avery Dennison&High Tech Los Angeles,Team 4 ELEMENT,Van Nuys,California,USA,1997,,,High Tech Los Angeles,,CMPTX
2,8,Apple/Bayer Fund/KLA Foundation/Arm Inc./TE Connectivity/BAE Systems/Intuitive Foundation/Markforged/Robby Technologies/Notion/Kirk’s Steakburgers/Emotiv/Solidworks/Asian Box/D&K Precision Sheet Metal/Dropbox & Palo Alto High School,Paly Robotics,Palo Alto,California,USA,1996,,,Palo Alto High School,,CMPTX
3,11,Siemens/National Defense Education Program/Westec Plastics Corporation/Fluent Inc./Nokia/Chameleon Designs/MegaPhase/LGS Innovations/Mt. Olive School District&Mt Olive High School,MORT,Flanders,New Jersey,USA,1997,,FMA,Mt Olive High School,,CMPTX
4,16,Baxter Healthcare Corporation & Mountain Home HS Career Acad,Bomb Squad,Mountain Home,Arkansas,USA,1996,,,Mountain Home HS Career Acad,,CMPTX
5,20,GLOBALFOUNDRIES - Town of Malta Foundation/Bilinski Sausage Manufacturing Co./GE/Advanced Manufacturing Techniques Inc./Rensselaer Polytechnic Institute&Shenendehowa High School,The Rocketeers,Clifton Park,New York,USA,1992,,,Shenendehowa High School,,CMPTX
6,21,The Boeing Company/Lockheed Martin/School Board of Brevard County/Barn Light Electric/DoD STEM/Planet Fitness of Daytona/NASA EGS/State of Florida/Florida Power & Light/Teledyne Marine/Indian River Technology llc/American Muscle&Astronaut High School&Titusville High School,ComBBAT,Titusville,Florida,USA,1998,,,Astronaut High School & Titusville High School,,CMPTX
7,23,Pilgrim Nuclear/Entergy Corporation & Plymouth North High School,PNTA Pilgrim Nuclear Technology Alliance,Plymouth,Massachusetts,USA,1995,,NE,Plymouth North High School,,CMPTX
8,25,"Bristol-Myers Squibb Co./Neil Parikh/Picatinny Arsenal. US Dept of Defense/Rutgers University, Department of Engineering/CIMA/L3Harris Corporation/North Brunswick Public Schools/Raider Robotix Parent and Mentor Organization&North Brunswick Township HS",Raider Robotix,North Brunswick,New Jersey,USA,1997,,FMA,North Brunswick Township HS,,CMPTX
9,27,"Walsh Education Foundation/Mclaren Health Care/Woodworth Incorporated/Lawrence Plastics/David W. Elliott Memorial Foundation/DOD Stem/Techmode, LLC/RUSH Alumni/David and Alana Dorr/BAE Systems/Specialty Tooling Systems Inc/White Pine Helicopters/Grandma & Grandpa Robinson/Tooling Software Technology LLC/Vibe Credit Union/Omnia Data Services Corp/Clarkston Ace Hardware/Cloverleaf Electric/Prime Energy/Union Joints/1-800-GOT-JUNK/Practical Media Applications (PMA)/REMAX Encore/Norton Mechanical/Schuler Hydroforming/Tony O'Gorman/Kirk-Fehr Family/The Mueller Family/The State of Michigan &Clarkston High School",Team RUSH,Clarkston,Michigan,USA,1997,,FIM,Clarkston High School,,CMPTX
10,28,Yacht Hampton/Sag Harbor Fire Department/Grenning Gallery /Sag Harbor Ambulance/Sag Harbor Boosters Club/Teachers Association of Sag Harbor&Pierson Middle High School,Pierson Whalers,Sag Harbor,New York,USA,1996,,,Pierson Middle High School,,CMPTX
11,31,Best Buy/Jenks Public Schools/Department of Defense Education Program/AEP/Victoria Capital Mortgage Company/Williams/AT&T/Hilti&Jenks High School,Prime Movers,Jenks,Oklahoma,USA,1997,,,Jenks High School,,CMPTX
12,33,Fiat Chrysler Automobiles/The FCA Foundation/Innovation First International/TI Automotive/Elite Fence Products/Hubbard Spring/BAE Systems/The Woodbridge Group & Notre Dame Preparatory,Killer Bees,Auburn Hills,Michigan,USA,1996,,FIM,Notre Dame Preparatory,,CMPTX
13,34,Lockheed Martin/Boeing/Limestone County Legislative Delegation/Limestone County Board of Education&Limestone Co Career Tech Ctr&Family/Community,Rockets,Athens,Alabama,USA,1997,,,Family/Community & Limestone Co Career Tech Ctr,,CMPTX
14,41,Picatinny Arsenal/The Knotts Company/Nokia Bell Labs/Picut Manufacturing/Warren Lions Club/Intuitive Surgical/Thor Labs/P&R Fasteners Inc./Advent Industrial/Offaly Associates LLC/Advanced Circuits/Watchung Hills Education and Technology Foundation&Watchung Hills Reg High School,RoboWarriors,Warren,New Jersey,USA,1997,,FMA,Watchung Hills Reg High School,,CMPTX
15,45,"Kokomo School Corporation/AndyMark, Inc./Kokomo Education Foundation/Solidarity Federal Credit Union/InMaC&Kokomo High School",TechnoKats Robotics Team,Kokomo,Indiana,USA,1992,,FIN,Kokomo High School,,CMPTX
16,48,Warren City Schools/Aptiv/Nordson/Novelis/Alloys Unlimited and Processing&Warren G Harding High School,Team E.L.I.T.E.,Warren,Ohio,USA,1998,,,Warren G Harding High School,,CMPTX
17,51,GM Propulsion Systems/APTIV/Ford Foundation/The School District of the City of Pontiac&Pontiac High School&International Technology Acad,The Wings of Fire,Pontiac,Michigan,USA,1996,,FIM,International Technology Acad & Pontiac High School,,CMPTX
18,56,Ethicon/Picatinny Arsenal/Department of Defense (DoD)/L3Harris Technologies/Bridgewater Commons Mall/Bridgewater Commons Mall/Fraternal Order of Eagles - Somerset Aerie #2137/Bound Brook/Somerset Moose Lodge #988/Bound Brook Elks Lodge #1388/Kyndryl (IBM)&Bound Brook High School,R.O.B.B.E.,Bound Brook,New Jersey,USA,1997,,FMA,Bound Brook High School,,CMPTX
19,58,South Portland School Department/Building STEAM&South Portland High School,The Riot Crew,South Portland,Maine,USA,1996,,NE,South Portland High School,,CMPTX
20,59,"RamTech 59 from Miami Coral Park Senior High/Motorola Solutions Foundation/Florida Power & Light/Beckman Coulter/John Deere/Suncoast Elevator Solutions/Seaboard Marine/Dr. Lee Swanger PE/Kingspan/Department of Defense/Ramtech Robotics Summer Camp/Miami Coral Park PTSA/Ed Fed/Miami Dade Public Schools STEAM Department/Miami Dade Public Schools CTE Department/Educational Excellence School Advisory Councils, Miami-Dade Schools/The Fuster and Gonzalez Family&Miami Coral Park Sr High Sch",RamTech,Miami,Florida,USA,1997,,,Miami Coral Park Sr High Sch,,CMPTX
21,60,FCA/UNS/Purvis Industries/Brackett Aircraft/Laron Inc/Praxair / Linde Company/Altice (Suddenlink)/I Corp/True Value/Barkhurst Electric/American Woodmark/Call Center USA/Freiday Construction/Drinking Age Motors/Leggett Engineering/JM Eagle/M-14P Inc/Northrop Grumman/Vito's/Sysco Foods/Kingman Soroptimist/Kingman Rotary & Kingman Academy of Learning HS & Kingman Middle School & White Cliffs Middle School & Lee Williams High School & Kingman High School,Kingman FIRST Robotics Team 60 (The Bionic Bulldogs),Kingman,Arizona,USA,1997,,,Lee Williams High School & White Cliffs Middle School & Kingman Middle School & Kingman Academy of Learning HS & Kingman High School,,CMPTX
22,61,TE Connectivity / Foster-Miller & Blackstone Vly Reg Voc Tech HS,The Intimidators,Upton,Massachusetts,USA,1995,,NE,Blackstone Vly Reg Voc Tech HS,,CMPTX
23,63,Millcreek Township School District/Wabtec/Gene Haas Foundation/Reed Manufacturing/Plastek/Advanced Welding Technologies/WM.T. Spaeder/Area Tool and Manufacturing/Gannon University/Penn State Behrend University/Bonnell's Auto Group&Mcdowell Senior High School,McDowell Robotics Team 63,Erie,Pennsylvania,USA,1997,,,Mcdowell Senior High School,,CMPTX
24,66,General Motors Corp/Michigan Department of Education/ZF&Ypsilanti STEMM Middle College,Grizzly Robotics,Ypsilanti,Michigan,USA,1998,,FIM,Ypsilanti STEMM Middle College,,CMPTX
25,67,General Motors Milford Proving Ground & Huron Valley Schools,The HOT Team,Highland,Michigan,USA,1997,,FIM,Huron Valley Schools,,CMPTX
26,68,General Motors/HTI Cybernetics/Michigan Department of Education/FCA Foundation/Smith Family Foundation/BGM Engineering/Entech Staffing Solutions/Treasured Roses/Hewlett-Packard/Kotz Heating & Air Conditioning/Hungry Howies-Ortonville/A & W Ortonville/EagleMatic/ACE Hardware-Ortonville/Cooks Farm Dairy/Create Kids Couture/Hamiltons Propane-Ortonville/O'Malley's Galley/McDonalds-Ortonville/Brandon Chiropractic/Bearss Fitness/Cole's Machine Inc/Jay Rod's Machine & Fabrication&Brandon High School,Truck Town Thunder,Ortonville,Michigan,USA,1998,,FIM,Brandon High School,,CMPTX
27,69,P & G Gillette&Quincy Public Schools,HYPER,Quincy,Massachusetts,USA,1998,,NE,Quincy Public Schools,,CMPTX
