,teamNumber,nameShort,location,latitude,longitude
2500,6546,Naatsisʼáán Robotics,"Tonalea, Arizona",36.3228528,-110.951144
2501,6547,Flaming Metal Robotics,"Magnolia West , Magnolia, Texas",30.219672,-95.76673275573573
2502,6548,Perry RAMBOTS,"Perry , Perry, Michigan",42.8188616,-84.2428395
2503,6550,Wildcat Robotics ,"Evart , Evart, Michigan",43.8965443,-85.2825943
2504,6552,RoboCats,"Houghton Lake , Houghton Lake, Michigan",44.3169175,-84.77587891876972
2505,6553,Roboticus,"Oxnard, California",34.1976308,-119.1803818
2506,6556,Spartan Robotics,"Waldron School, Waldron, Michigan",41.734538150000006,-84.4201776140524
2507,6557,S.R.U - Special Robotics Unit,"Baraga School, Baraga, Michigan",46.7772222,-88.4947222
2508,6558,Aluminum Sting,"Lanse, Michigan",42.505697,-82.890715
2509,6560,Charging Champions,"Irvine, California",33.6856969,-117.8259819
2510,6561,Omecha Wolf Pack,"Gateway to Success Academy, Scottville, Michigan",43.9643183,-86.278199
2511,6565,Team Bobcat,"Arapahoe Charter School, Arapahoe, North Carolina",35.0121461,-76.8211724
2512,6566,Battering Rams,"Lamphere , Madison Heights, Michigan",42.5118504,-83.1001917
2513,6567,The Broken Drill Bits ,"Lake Shore , Saint Clair Shores, Michigan",42.5221777,-82.8809385
2514,6568,Decatur Robotics Team,"Decatur , Decatur, Michigan",42.1080979,-85.9744569
2515,6569,Gladiators,"Ontonagon Area School, Ontonagon, Michigan",46.8713394,-89.29908134967275
2516,6570,Whiteford Bobcats,"Ottawa Lake, Michigan",41.7641517,-83.7493869
2517,6573,Alanson Viking Robotics,"Alanson, Michigan",45.444178,-84.786712
2518,6574,Ferradermis,"Whitewater , Whitewater, Wisconsin",42.84435955,-88.74366642884807
2519,6580,Positive Charge,"Marshall Academy, Marshall, Michigan",42.2521435,-84.93964411480661
2520,6581,Hancock Robotics,"Hancock Middle , Hancock, Michigan",47.1429773,-88.5824437
2521,6582,Vestabots,"Vestaburg , Vestaburg, Michigan",43.402033,-84.9221949
2522,6583,Human Error,"New School High, Plymouth, Michigan",42.3584884,-83.497746
2523,6584,AHC Transformers,"Academy of the Holy Cross, Kensington, Maryland",39.032389300000006,-77.09921393429983
2524,6586,Tuskin' Raiders,"Texarkana, Arkansas",33.4254259,-94.0430937
2525,6588,Counter-Torque Robotics,"Lawton , Lawton, Michigan",42.1684675,-85.84075625543946
2526,6589,Cardinal Robotics,"Bloomingdale, Michigan",42.3828129,-85.9569675
2527,6590,SaviTech,"Brooklyn, New York",40.6526006,-73.9497211
2528,6591,Panther Powered Robotics 6591,"Stockbridge, Michigan",42.4511466,-84.1805146
2529,6592,Sexton Redbots,"Lansing, Michigan",42.7337712,-84.5553805
2530,6593,HyperDrive Robotics,"Richmond Hill , Richmond Hill, New York",40.636133799999996,-74.10551405851064
2531,6594,EV ROBOTICS,"Everett , Lansing, Michigan",42.6929427,-84.5566439
2532,6595,QUAKE,"Lansing, Michigan",42.7337712,-84.5553805
2533,6597,Eagles,"Saginaw, Michigan",43.4200387,-83.9490365
2534,6599,Northport Wildcats,"Northport Public School, Northport, Michigan",45.12852175,-85.61917549372359
2535,6600,Tech Heads,"Baldwin, Michigan",43.901123,-85.851729
2536,6610,Robot Roll Call,"Bendle , Burton, Michigan",42.9814164,-83.6571765
2537,6611,WolverBots,"Au Gres, Michigan",44.04863,-83.695816
2538,6612,NexGen Robotics,"Deer Valley , Antioch, California",37.9173769,-121.81442417998987
