,teamNumber,nameShort,location,latitude,longitude
2000,5437,Rocky Balboabots,"Booneville, Arkansas",35.1403474,-93.9219333
2001,5438,Technological Terrors,"Jersey City, New Jersey",40.7215682,-74.047455
2002,5442,Mechanical Monarchy,"Washington , Washington, Illinois",41.883209,-87.6294539
2003,5448,CCA RoboCougars,"Big Rapids, Michigan",43.698078,-85.483656
2004,5450,SHREC 5450,"St Helens , Saint Helens, Oregon",45.84455165,-122.83913396884058
2005,5454,Obsidian,"Bentonville, Arkansas",36.3728538,-94.2088172
2006,5457,Falcobots,"Burlington Twp , Burlington, New Jersey",40.072587,-74.88700755838619
2007,5458,Digital Minds,"Woodland, California",38.6786109,-121.7733285
2008,5459,Ipswich TIGERS,"Ipswich , Ipswich, Massachusetts",42.6768957,-70.8405305
2009,5460,Strike Zone,"Lapeer, Michigan",43.0904764,-83.2333705
2010,5461,Victorian Engineered Robotic Nation or V.E.R.N.,"Meridian, Idaho",43.6086295,-116.392326
2011,5462,2PawR (2PawRobotics),"Paw Paw , Paw Paw, Michigan",42.2178171,-85.8911246
2012,5464,Bluejacket Robotics,"Cambridge-Isanti , Cambridge, Minnesota",45.5598576,-93.2641825
2013,5465,Binary Bots,"Chandler, Arizona",33.3062031,-111.8411851
2014,5467,RoboTractors,"Fordson , Dearborn, Michigan",42.29403215,-83.14781382504574
2015,5468,Chaos Theory,"Summit , Bend, Oregon",44.0562628,-121.3610487039112
2016,5470,The Cowpunchers,"Coopersville , Coopersville, Michigan",43.076827699999996,-85.94082571844811
2017,5472,Stallion Robotics: The Wyld Stallyns,"Delray Beach, Florida",26.4614625,-80.0728201
2018,5473,Team Spitfire.,"West Michigan Aviation Academy, Grand Rapids, Michigan",42.8847299,-85.5344723
2019,5474,Clairemonster,"Clairemont , San Diego, California",32.8195052,-117.1823399
2020,5477,NuBotX - National University Academy Robotics Experience,"San Diego, California",32.7174202,-117.1627728
2021,5478,Pershing Doughbots,"Pershing , Detroit, Michigan",42.4370826,-83.0699429
2022,5480,FYRE,"Reno, Nevada",39.5261206,-119.8126581
2023,5482,Roarbotics,"The Lovett School, Atlanta, Georgia",33.860779449999995,-84.45014000366004
2024,5484,Career Academy Robotics - Wolf Pack,"South Bend, Indiana",41.6833813,-86.2500066
2025,5486,Robotic Turmoil,"Lake Linden Hubbell Jr Sr HS, Lake Linden, Michigan",47.193986800000005,-88.4074881
2026,5490,The Dark Byte,"Moravian Academy-Upper School, Bethlehem, Pennsylvania",40.6790333,-75.3141022
2027,5491,Hard Reset,"Winchendon School, Winchendon, Massachusetts",42.67389045,-72.03834752299176
