teamNumber,nameShort,location,latitude,longitude
1,The Juggernauts,"Oakland Schools Technical Campus--Ne, Pontiac, Michigan",42.66901585,-83.2639979106961
4,Team 4 ELEMENT,"Van Nuys, California",34.1866193,-118.4486675
8,Paly Robotics,"Palo Alto High, Palo Alto, California",37.4358242,-122.15533274071367
11,MORT,"Flanders, New Jersey",40.8456549,-74.6948843
16,Bomb Squad,"Mountain Home, Arkansas",36.3361391,-92.3801187
20,The Rocketeers,"Shenendehowa , Clifton Park, New York",42.86963355,-73.80857595105246
21,ComBBAT,"Astronaut  & Titusville , Titusville, Florida",28.62479625,-80.85131104290072
25,Raider Robotix,"North Brunswick Twp High, North Brunswick, New Jersey",40.452812,-74.4686784
27,Team RUSH,"Clarkston , Clarkston, Michigan",42.73905605,-83.39198639025453
28,Pierson Whalers,"Sag Harbor, New York",40.9978727,-72.2922292
31,Prime Movers,"Jenks, Oklahoma",36.0228734,-95.9683278
33,Killer Bees,"Notre Dame Preparatory, Auburn Hills, Michigan",42.6732124,-83.25969529028427
34,Rockets,"Athens, Alabama",34.8045487,-86.9711698
41,RoboWarriors,"Warren, New Jersey",40.8602222,-74.9720493
45,TechnoKats Robotics Team,"Kokomo , Kokomo, Indiana",40.4594635,-86.13026910233465
48,Delphi E.L.I.T.E.,"Warren, Ohio",39.4203978,-84.180897
51,Wings of Fire,"Pontiac , Pontiac, Michigan",42.6327117,-83.292362
56,R.O.B.B.E.,"Bound Brook High, Bound Brook, New Jersey",40.56758355,-74.53671162974499
58,The Riot Crew,"South Portland , South Portland, Maine",43.63323285,-70.31731723892223
59,RamTech,"Miami Coral Park Senior High, Miami, Florida",25.75665545,-80.33947220677479
60,Bionic Bulldogs,"Kingman, Arizona",35.189443,-114.0530065
63,McDowell Robotics Team 63,"Mcdowell Hs, Erie, Pennsylvania",42.07512135,-80.151092082339
66,Grizzly Robotics,"Ypsilanti STEMM Middle College, Ypsilanti, Michigan",42.2440229,-83.6459756
67,The HOT Team,"Huron Valley Schools, Highland, Michigan",42.6840138,-83.57680010030208
68,Truck Town Thunder,"Ortonville, Michigan",42.8522506,-83.4430002
69,HYPER,"Quincy, Massachusetts",42.2509914,-71.0037374
70,More Martians,"Goodrich , Goodrich, Michigan",42.9139472,-83.51396339564499
71,Team Hammond,"Hammond, Indiana",41.5833658,-87.500043
74,Team C.H.A.O.S.,"Holland, Michigan",42.7876022,-86.1090828
75,RoboRaiders,"Hillsborough High, Hillsborough, New Jersey",40.49492615,-74.65687728532075
78,AIR STRIKE,"Newport, Rhode Island",41.5524614,-71.27037832834264
79,Team Krunch,"East Lake , Tarpon Springs , Florida",28.1089,-82.68774843410688
81,MetalHeads,"Freeport, Illinois",42.2966861,-89.6212271
85,B.O.B. (Built on Brains),"Zeeland, Michigan",42.8124349,-86.0288167
86,Team Resistance,"Stanton College Preparatory, Jacksonville, Florida",30.35272575,-81.67289477491202
87,Red Devils,"Mount Holly, New Jersey",39.9928898,-74.7876624
88,TJ(Squared),"Bridgewater, Massachusetts",41.9903787,-70.9750426
93,NEW Apple Corps,"Appleton, Wisconsin",44.2613967,-88.4069744
94,The  Ninetyfouriors,"Southfield , Southfield, Michigan",42.47705655,-83.24507568290257
95,Grasshoppers,"White River Junction, Vermont",43.6488351,-72.3193634
97,Bionic Beef,"Cambridge, Massachusetts",42.3750997,-71.1056157
100,The WildHats,"Woodside High, Woodside, California",37.44580485,-122.23106577017776
101,Striker,"St Patrick , Chicago, Illinois",41.9392804,-87.77479477298535
102,The Gearheads,"Somerville High, Somerville, New Jersey",40.578183,-74.61233651552078
103,Cybersonics,"Kintnersville, Pennsylvania",40.5570457,-75.179619
107,Team R.O.B.O.T.I.C.S.,"Holland Christian , Holland, Michigan",42.7659458,-86.1278018
108,SigmaC@T Robotic Team,"Dillard , Fort Lauderdale, Florida",26.1395132,-80.1755261
111,WildStang,"Arlington Heights, Illinois",42.0811563,-87.9802164
114,Eagle Strike,"Los Altos High, Los Altos, California",37.38681215,-122.1090964487154
115,MVRT,"Monta Vista High, Cupertino, California",37.3136964,-122.0567491504541
116,Epsilon Delta,"Herndon High, Herndon, Virginia",38.98734195,-77.37424270122031
117,The Steel Dragons,"Pittsburgh, Pennsylvania",40.4416941,-79.9900861
118,Robonauts,"League City, Texas",29.5074538,-95.0949303
120,Cleveland's Team,"Cleveland, Ohio",41.4996574,-81.6936772
121,Rhode Warriors,"Middletown , Middletown, Rhode Island",41.5524614,-71.27037832834264
123,Team - Cosmos,"Hamtramck , Hamtramck, Michigan",42.4022664,-83.05761742811653
125,NUTRONs,"Boston, Massachusetts",42.3554334,-71.060511
126,Gael Force,"Clinton, Massachusetts",42.4141495,-71.6799426
128,The Botcats,"Grandview Heights , Grandview Heights, Ohio",39.9790064,-83.0265592
131,C.H.A.O.S.,"Manchester, New Hampshire",42.9956397,-71.4547891
133,B.E.R.T.,"Bonny Eagle , Standish, Maine",43.6972618,-70.59889122973684
135,Penn Robotics,"Penn , Mishawaka, Indiana",41.650518,-86.170425
136,Killer Kardinals,"Plainfield High, Plainfield, New Jersey",40.61152475,-74.41273870533337
138,Entropy,"Amherst, New Hampshire",42.8642874,-71.6252484
141,WOBOT,"West Ottawa  Campus, Holland, Michigan",42.8320901,-86.15561310717015
144,The R.O.C.K,"Cincinnati, Ohio",39.1014537,-84.5124602
145,T-Rx,"Norwich, New York",42.531184,-75.5235149
148,Robowranglers,"Greenville H S, Greenville, Texas",34.9602406,-82.4345999
151,Tough Techs,"Nashua, New Hampshire",42.7656251,-71.4677032
155,The Technonuts,"Berlin, Connecticut",41.6360818,-72.7651898
156,RPM  - Robotics Plus Mayhem ,"Fairview Hs, Fairview, Pennsylvania",42.0216865,-80.24555716889306
157,AZTECHS,"Marlborough, Massachusetts",42.3459271,-71.5522874
159,Alpine Robotics,"Poudre , Fort Collins, Colorado",40.5713126,-105.0026884
166,Chop Shop,"Merrimack , Merrimack, New Hampshire",43.3625483,-71.460604
167,Children of the Corn,"Iowa City, Iowa",41.6612561,-91.5299106
171,Cheese Curd Herd,"Platteville High, Platteville, Wisconsin",42.74235225,-90.46404326520393
172,Northern Force,"Falmouth  & Gorham , Gorham, Maine",43.754966,-70.30488
173,RAGE Robotics,"Tolland, Connecticut",41.8028937,-72.241671
174,Arctic Warriors,"Liverpool , Liverpool, New York",43.1481445,-76.21581153197891
175,Buzz Robotics,"Enfield , Enfield, Connecticut",41.97896655,-72.59838825968257
176,Aces High,"Windsor Locks  & Suffield , Windsor Locks, Connecticut",41.9466732,-72.6864108
177,Bobcat Robotics,"South Windsor , South Windsor, Connecticut",41.8429283,-72.55421799651432
178,The 2nd Law Enforcers,"Farmington , Farmington, Connecticut",41.73344545,-72.79234525803653
179,Children of the Swamp,"Riviera Beach, Florida",26.784343,-80.0650293
180,S.P.A.M.,"Stuart, Florida",27.197983,-80.2519175
181,Birds Of Prey,"Hartford, Connecticut",41.7688459,-72.6816303
190,Gompei and the H.E.R.D.,"Ma Academy for Math and Science School, Worcester, Massachusetts",42.2764079,-71.7999251
191,X-CATS,"Rochester, New York",43.157285,-77.615214
192,GRT,"Henry M Gunn HS, Palo Alto, California",37.40242385,-122.1339436935126
193,MORT Beta,"Flanders, New Jersey",40.8456549,-74.6948843
195,CyberKnights,"Southington , Southington, Connecticut",41.61567355,-72.86113161252203
199,Deep Blue,"Carlmont High, Belmont, California",37.5051047,-122.28864250571144
201,The FEDS,"Rochester , Rochester, Michigan",42.66869795,-83.14239330827945
203,One TUFF Team (Team United for FIRST),"Sicklerville, New Jersey",39.7173375,-74.9693329
204,Eastern Robotic Vikings,"Eastern High, Voorhees, New Jersey",39.8496878,-74.9670446036615
207,METALCRAFTERS,"Hawthorne, California",33.9188589,-118.3483256
213,The Dirty Birds,"Keene , Keene, New Hampshire",42.9155576,-72.2473515
216,More RoboDawgs,"Grandville , Grandville, Michigan",42.910621,-85.7615685
217,ThunderChickens,"Joan C. Sergent Instructional Resource Center, Sterling Heights, Michigan",42.613,-82.9847
219,Team Impact,"Washington, New Jersey",38.88910115,-77.0408771293383
222,Tigertrons,"Tunkhannock Hs, Tunkhannock, Pennsylvania",41.5447976,-75.95964999296953
223,Xtreme Heat,"Wanaque, New Jersey",41.0381526,-74.2940378
224,The Tribe,"Piscataway, New Jersey",40.5462553,-74.4660408
225,TechFire,"York, Pennsylvania",39.9067499,-76.7008946
226,Hammerheads,"Athens  & Troy , Troy, Michigan",42.5818284,-83.11158190842941
228,GUS Robotics,"Meriden, Connecticut",41.5388115,-72.801518
229,Division By Zero,"Potsdam, New York",44.6697996,-74.9813349
230,Gaelhawks,"Shelton , Shelton, Connecticut",41.307718,-73.0885598
231,High Voltage,"Pasadena, Texas",29.6910753,-95.2092076
233,The Pink Team,"MELBOURNE, Florida",28.106471,-80.6371513
234,Cyber Blue,"Perry Meridian , Indianapolis, Indiana",39.64810585,-86.16643133771572
236,Techno-Ticks,"Lyme-Old Lyme , Old Lyme, Connecticut",41.31089625,-72.34909569999996
237,Black Magic Robotics,"Watertown , Watertown, Connecticut",41.59411865,-73.10245670955362
238,Crusaders,"Manchester Memorial , Manchester, New Hampshire",42.968371950000005,-71.46006388152011
240,Tempest,"Jefferson , Monroe, Michigan",42.0215061,-83.483177
244,RoboDawgs 3D,"Grandville , Grandville, Michigan",42.910621,-85.7615685
245,Adambots,"Rochester Adams , Rochester, Michigan",42.696228700000006,-83.19718679015588
246,Overclocked,"Boston University Academy, Boston, Massachusetts",42.3510171,-71.10981338167903
247,Da Bears,"Berkley, Michigan",42.5030909,-83.1835389
250,Dynamos,"Colonie Central , Colonie, New York",42.7069722,-73.8203893
253,Mills Robotics Team,"Mills High, Millbrae, California",37.5941393,-122.3904017
254,The Cheesy Poofs,"Bellarmine College Preparatory, San Jose, California",37.3428035,-121.91810337452388
256,Robo-Rams,"Willow Glen High, San Jose, California",37.29073285,-121.89838472998288
263,Sachem Aftershock,"Ronkonkoma, New York",40.803529,-73.124548
265,Moderate Heat,"Wanaque, New Jersey",41.0381526,-74.2940378
269,CooneyTech,"Oconomowoc High, Oconomowoc, Wisconsin",43.09839685,-88.48863355211108
271,Mechanical Marauders,"Bay Shore Senior , Bay Shore, New York",40.7309011,-73.2547989
272,Cyber-Crusaders,"Lansdale Catholic , Lansdale, Pennsylvania",40.2434406,-75.26954539776581
279,Tech Fusion,"Maumee, Ohio",41.5628294,-83.6538244
280,TnT,"Taylor Career and Technical Center, Taylor, Michigan",42.2375733,-83.2781857
281,The GreenVillains,"Greenville, South Carolina",34.851354,-82.3984882
283,The Generals,"Greenville, South Carolina",34.851354,-82.3984882
287,Floyd,"William Floyd  & William Floyd , Mastic Beach, New York",40.76745275,-72.8211859076996
288,The RoboDawgs,"Grandville , Grandville, Michigan",42.910621,-85.7615685
291,CIA - Creativity In Action,"Erie, Pennsylvania",42.1294712,-80.0852695
292,PantherTech,"Russiaville, Indiana",40.4175374,-86.2713849
293,Team S.P.I.K.E.,"Hopewell Valley Central , Pennington, New Jersey",40.32808695,-74.80302724162648
294,Beach Cities Robotics,"Redondo Beach, California",33.8455911,-118.3886766
295,Grizzly Robotics Team,"Granite Bay High, Granite Bay, California",38.7315505,-121.21187482401989
299,Valkyrie Robotics,"Cupertino, California",37.3228934,-122.0322895
302,The Dragons,"Lake Orion, Michigan",42.7844752,-83.2396612
303,The T.E.S.T. Team,"Bridgewater, New Jersey",40.5598127,-74.5517146
304,GWHS Robo Griffins,"Washington George Hs, Philadelphia, Pennsylvania",40.1059112,-75.02600027090838
308,The Monsters,"Walled Lake, Michigan",42.537811,-83.4810481
313,The Bionic Zebras,"Wayne Memorial , Wayne, Michigan",42.2874978,-83.377392
314,The Megatron Oracles,"Carman-Ainsworth , Flint, Michigan",43.02587095,-83.77079533490837
316,LuNaTeCs,"Penns Grove, New Jersey",39.7295581,-75.4679734
319,Big Bad Bob,"Prospect Mountain , Alton, New Hampshire",43.402786,-71.1894537
321,RoboLancers,"Central Hs, Philadelphia, Pennsylvania",40.03743125,-75.15056680845925
322,Team F.I.R.E.,"Flint, Michigan",43.0161693,-83.6900211
329,Mohawks,"Patchogue-Medford , Medford, New York",40.8092798,-72.98740471827819
330,The Beach Bots,"Hermosa Beach, California",33.86428,-118.39591
333,MEGALODONS,"John Dewey , Brooklyn, New York",40.587629,-73.98116657499443
334,TechKnights,"Brooklyn Technical , Brooklyn, New York",40.6887573,-73.97640887345645
335,Skillz Tech Gear Botz,"Brooklyn, New York",40.6526006,-73.9497211
337,Hard Working Hard Hats,"Logan, West Virginia",37.8024603,-81.9284776
339,Kilroy Robotics,"Stafford, Virginia",38.4167265,-77.4579783
340,G.R.R. (Greater Rochester Robotics),"Churchville, New York",43.104228,-77.884454
341,Miss Daisy,"Ambler, Pennsylvania",40.1545535,-75.2215651
342,Burning Magnetos,"Fort Dorchester High, North Charleston, South Carolina",32.9274095,-80.10935521853108
343,Metal-In-Motion,"Seneca, South Carolina",34.6865321,-82.9527288
346,RoboHawks,"Lloyd C Bird High, Chesterfield, Virginia",37.3884709,-77.4950983
