,teamNumber,nameShort,location,latitude,longitude
2000,5215,Steagles,"Frankenmuth , Frankenmuth, Michigan",43.32373375,-83.73918839124227
2001,5216,E-Ville Empire,"Garber , Essexville, Michigan",43.6060798,-83.83463868020182
2002,5217,Robocats,"Riverside Academy West, Dearborn, Michigan",42.33694735,-83.17785574568845
2003,5219,TeknoSquad,"East Point, Georgia",33.6795531,-84.4393724
2004,5222,JackBotics,"Arthur Hill , Saginaw, Michigan",43.42992315,-83.991431986167
2005,5225,The Shambotz,"East Detroit , Eastpointe, Michigan",42.46317855,-82.96202682895188
2006,5227,Eagle Elite,"Schoolcraft , Schoolcraft, Michigan",42.1142107,-85.6377776
2007,5229,Heritage Hawkbots,"Heritage , Saginaw, Michigan",43.3297877,-83.73516416800287
2008,5230,The Resistance,"Alpena , Alpena , Michigan",45.0616794,-83.4327528
2009,5231,Radical Jays,"Shepherd  , Shepherd, Michigan",43.530418,-84.69169807066285
2010,5232,Talons,"Hermantown, Minnesota",46.8068852,-92.2382464
2011,5234,MarauderBots,"Ovid-Elsie , Elsie, Michigan",43.0921676,-84.3872635
2012,5235,Gears of Fortune,"Chesaning Union , Chesaning, Michigan",43.1935586,-84.1267353721143
2013,5236,Man O' War Robotics,"Cambridge, New York",14.6276098,121.0518483
2014,5238,Falconators,"Otisville, Michigan",43.166137,-83.524398
2015,5239,Harper Woods Pioneers,"Harper Woods , Harper Woods, Michigan",42.4317072,-82.9241678
2016,5240,Udder Chaos,"Potsdam, New York",44.6697996,-74.9813349
2017,5241,Tribe-Borgs,"San Antonio, Texas",29.4246002,-98.4951405
2018,5242,RoboCats,"Dallas, Texas",32.7762719,-96.7968559
2019,5243,Centreville Robotics,"Centreville, Virginia",38.84487,-77.43540260778344
2020,5247,Red Devil Robotics,"East Jordan , East Jordan, Michigan",45.15666795,-85.14043421567476
2021,5248,Robo-Saxons,"Hastings , Hastings, Michigan",42.662659149999996,-85.34249365551597
2022,5251,C3 WAYbots,"Flint, Michigan",43.0161693,-83.6900211
2023,5253,Bigfork Backwoods Bots,"Bigfork, Minnesota",47.744387,-93.654085
2024,5254,HYPE,"Charles O Dickerson , Trumansburg, New York",42.5370264,-76.6520884
2025,5255,Robotic Tigers,"Muskegon Heights , Muskegon, Michigan",43.201126,-86.238946
2026,5256,Atomic Vikings,"Lake Odessa, Michigan",42.7847564,-85.1383367
2027,5257,CometKaze,"Coleman, Michigan",43.756695,-84.585843
2028,5260,Owosso Operating System,"Owosso , Owosso, Michigan",42.992630649999995,-84.16247644828572
2029,5261,Cyber Shock,"Humble, Texas",29.9988312,-95.2621553
2030,5263,Robo-Bucs,"Riverview Community , Riverview, Michigan",42.176424749999995,-83.17676968607009
2031,5265,Radical Impact,"Cheverus , Portland, Maine",43.67962125,-70.27679478706375
2032,5268,The BioMech Falcons,"Olathe, Kansas",38.8838856,-94.81887
2033,5271,Open Circuits,"Saint Paul, Minnesota",44.9497487,-93.0931028
2034,5274,Wolverines,"Rosemont High, Sacramento, California",38.5440734,-121.3416178
