,teamNumber,nameShort,location,latitude,longitude
1500,4270,Crusaders,"St Louis School, Honolulu, Hawaii",21.2887438,-157.807924
1501,4272,Maverick Boiler Robotics,"Mccutcheon , Lafayette, Indiana",40.3511513,-86.903208
1502,4276,Surf City Vikings,"Marina High, Huntington Beach, California",33.7315382,-118.0278074337755
1503,4277,Thingamajiggers,"New Hope, Minnesota",45.0347176,-93.3861037
1504,4281, Bulldogs,"Center School, Somerset, New Jersey",40.56066575,-74.69711410558372
1505,4283,INSPIRE Robotics,"Granville , Granville, Ohio",40.0681192,-82.5196037
1506,4284,ScotBot4284,"Oak Hills , Cincinnati, Ohio",39.1295048,-84.4933981
1507,4285,Camo-Bots,"Honesdale, Pennsylvania",41.5767552,-75.2587871
1508,4286,Imperial Robotics,"Mechanicsville, Virginia",37.627722,-77.35381757536094
1509,4290,Bots on Wheels,"Charlotte, North Carolina",35.2272086,-80.8430827
1510,4291,AstroBots,"Vance County , Henderson, North Carolina",36.3282604,-78.3908384
1511,4292,PorterBots,"Lockport, Illinois",41.5894753,-88.057837
1512,4293,Komodo,"Highlands Ranch, Colorado",39.5497243,-104.9695655
1513,4295,Hudson Robotics,"Lufkin, Texas",31.3386242,-94.7288558
1514,4296,Trident Robotics,"Warren Township , Gurnee, Illinois",42.3666599,-87.91553338399626
1515,4299,BCS Robo Sharks,"Brooklyn, New York",40.6526006,-73.9497211
1516,4301,SM Energy New Tech Narcissists,"New Tech Odessa, Odessa, Texas",31.8701869,-102.37878222413254
1517,4306,Robokomodos,"Franklin , Franklin, Tennessee",35.9147831,-86.874885953125
1518,4309,4-H Botsmiths,"Snohomish, Washington",48.0074736,-121.7304882
1519,4311,Swampscott Currents,"Swampscott High, Swampscott, Massachusetts",42.47856695,-70.91941953821151
1520,4314,SUL Abe-Ro-Bots,"Springfield , Illinois",39.7990175,-89.6439575
1521,4322,Clockwork Oranges,"Orange, California",33.7500378,-117.8704931
1522,4325,RoboRangers,"Cassopolis, Michigan",41.9117134,-86.0100069
1523,4327,Q Branch,"Lakeview , Battle Creek, Michigan",42.298375,-85.2111035
1524,4328,Furious Falcons,"Richmond, Texas",29.5821811,-95.7607832
1525,4329,Lutheran Roboteers,"Saint Peters, Missouri",38.791612,-90.5958468
1526,4330,Rambunction,"Ladue Horton Watkins High, Saint Louis, Missouri",38.63929895,-90.3973851464885
1527,4332,EHS RoboCats,"Edinburg, Texas",26.3013982,-98.1624501
1528,4336,Ramageddon,"Acadiana , Lafayette, Louisiana",30.171556600000002,-92.07528089519352
1529,4337,R 13,"Holton , Holton, Michigan",43.4133486,-86.0795043
1530,4342,Demon Robotics,"Kennett Hs, Kennett Square, Pennsylvania",39.83848235,-75.70765658014511
1531,4348,Bonneville Bots,"Tooele County 4H, Tooele, Utah",40.5307776,-112.29828
