teamNumber,nameShort,location,latitude,longitude
180,S.P.A.M.,"Stuart, Florida",27.197983,-80.2519175
181,Birds Of Prey,"Hartford, Connecticut",41.764582,-72.6908547
190,Gompei and the H.E.R.D.,"Worcester, Massachusetts",42.2625621,-71.8018877
191,X-CATS,"nan, Rochester, New York",43.1100257,-77.54586782478958
192,GRT,"nan, Palo Alto, California",-22.2191852,-49.9758677
193,MORT Beta,"Flanders, New Jersey",40.8456549,-74.6948843
195,Cyber Knights,"Southington, Connecticut",41.6005435,-72.8782941
201,The FEDS,"Rochester Hills, Michigan",42.6583661,-83.1499322
203,One TUFF Team (Team United for FIRST),"Sicklerville, New Jersey",39.7173375,-74.9693329
204,Eastern Robotic Vikings,"Voorhees, New Jersey",39.8512162,-74.9619779
207,METALCRAFTERS,"nan, Hawthorne, California",37.7843749,-122.395191
213,The Dirty Birds,"Keene, New Hampshire",42.933597,-72.2784264
216,More RoboDawgs,"Grandville, Michigan",42.909598,-85.7630956
217,ThunderChickens,"nan, Sterling Heights, Michigan",42.553677,-82.972121
219,Team Impact,"Washington, New Jersey",38.88910115,-77.0408771293383
222,Tigertrons,"Tunkhannock, Pennsylvania",41.5385159,-75.946844
223,Xtreme Heat,"Wanaque, New Jersey",41.0381526,-74.2940378
224,The Tribe,"Piscataway, New Jersey",40.5462553,-74.4660408
225,TechFire,"York, Pennsylvania",39.9067499,-76.7008946
226,Hammerheads,"Troy, Michigan",42.6055893,-83.1499304
228,GUS Robotics,"Meriden, Connecticut",41.5381535,-72.8070435
229,Division By Zero,"Potsdam, New York",44.6697996,-74.9813349
230,Gaelhawks,"Shelton, Connecticut",41.3164856,-73.0931641
231,High Voltage,"Pasadena, Texas",29.6910753,-95.2092076
233,The Pink Team,Florida,27.7567667,-81.4639835
234,Cyber Blue,"Indianapolis, Indiana",39.7683331,-86.1583502
236,Techno-Ticks,"Old Lyme, Connecticut",41.3159315,-72.3289715
237,Black Magic Robotics,"Watertown, Connecticut",41.6062078,-73.1181658
238,Cruisin' Crusaders,"Manchester, New Hampshire",42.9956397,-71.4547891
240,Tempest,"Monroe, Michigan",41.9153358,-83.5135665
244,RoboDawgs 3D,"Grandville, Michigan",42.909598,-85.7630956
245,Adambots,"Rochester Hills, Michigan",42.6583661,-83.1499322
246,Overclocked,"nan, Boston, Massachusetts",42.3514972,-71.06056
247,Da Bears,"Berkley, Michigan",42.5030909,-83.1835389
250,Dynamos,"Colonie, New York",42.7178558,-73.8334554
253,Mills Robotics Team,"Millbrae, California",37.598958,-122.400941
254,The Cheesy Poofs,"nan, San Jose, California",37.3565689,-121.9011479
256,Robo-Rams,"nan, San Jose, California",37.3565689,-121.9011479
263,Sachem Aftershock,"Lake Ronkonkoma, New York",40.8237106,-73.1075598
269,CooneyTech,"Oconomowoc, Wisconsin",43.1116731,-88.4992659
