,teamNumber,nameShort,location,latitude,longitude
480,5744,Broken Gears,"Knoxville, Tennessee",35.9603948,-83.9210261
2501,5745,Gearheads,"Three Oaks, Michigan",41.7986545,-86.6105778
2502,5746,Valley Regional Robotics,"Deep River, Connecticut",41.3856546,-72.4356422
2503,5748,Adna Pirates,"Adna, Washington",46.6289921,-123.0612431
2504,5752,Beverly Panthers,"Beverly, Massachusetts",42.5584284,-70.8800491
2505,5753,St. Joseph Academy Flashes,"St. Augustine, Florida",29.8946952,-81.3145395
201,5754,Brooks Academy Robotics,"nan, San Antonio, Texas",-23.11081025,-46.9602982923831
564,5756,R.E.C'in Crew,"Detroit, Michigan",42.3315509,-83.0466403
2396,5758,UF C-Bots,"Saint Louis, Missouri",38.6280278,-90.1910154
2509,5760,The Marinators,"nan, Marina, California",-26.49292235,-49.08234704053477
2510,5762,Franklinbots,"Louisburg, North Carolina",36.0990393,-78.301106
2511,5763,Lightning Robotics,"Broomfield, Colorado",39.9403995,-105.05208
243,5765,ToroBots,"nan, Los Angeles, California",34.0049604,-117.7877947
2513,5766,ET Robotics,"Hawthorn, Massachusetts",42.4556474,-71.7064588
2514,5768,Leuzinger Resistors,"Lawndale, California",33.8885217,-118.3531991
2515,5769,Radio Rangers R^2,"nan, Santa Fe, Texas",-23.5204158,-47.4675706
2516,5770,ReMIT ,"Inglewood, California",33.9562003,-118.353132
2517,5771,Marfa Robohorns,"Marfa, Texas",30.3117621,-104.023146
2518,5772,The Mighty Morphin Power Bots,"nan, Los Angeles , California",34.0049604,-117.7877947
149,5774,Heroes Alliance Flint,"Flint, Michigan",43.0161693,-83.6900211
2520,5775,CRHS Robots,"Malakoff, Texas",32.1695965,-96.0124678
2521,5777,Alternate Currents,"nan, Sumter, South Carolina",33.9654325,-80.4942507
2522,5779,CB Tech,"Moses Lake, Washington",47.1301417,-119.278077
2523,5780,Harvesters,"Pampa, Texas",35.536297,-100.9601552
2524,5782,Sullivan 4H-Newport,"Newport, New Hampshire",43.365625,-72.173996
2525,5783,Eunice,"Eunice, New Mexico",32.4388224,-103.159002
2526,5784,V2OVH,"Vassar, Michigan",43.371968,-83.583292
1232,5785,The Shield,"Baton Rouge, Louisiana",30.4507936,-91.1391153
1245,5786,Pro-Botics,"Irving, Texas",32.8295183,-96.9442177
