,teamNumber,nameShort,location,latitude,longitude
2000,5310,Eagles Apex,"East Orange, New Jersey",40.767323,-74.2048677
2001,5314,Ice Bots,"Pellston Middle/, Pellston, Michigan",45.55298755,-84.78062099176648
2002,5316,The Architects,"Saranac , Saranac, Michigan",42.93200055,-85.21282642914491
2003,5317,Redhawk Robotics,"Westwood , Blythewood, South Carolina",34.1686052,-80.98007763989415
2004,5326,Optimus PRIN,"St. Louis, Missouri",38.6280278,-90.1910154
2005,5327,Griffin Robotics,"Winnsboro, South Carolina",34.3807012,-81.0864776
2006,5329,S(A^3)S,"School for Advanced Studies - South, Miami, Florida",25.6722222,-80.3761111
1424,5332,Toaster Tech,"Decatur, Georgia",30.8736613,-84.5740953
2008,5338,RoboLoCo,"Leesburg, Virginia",39.1154496,-77.5645446
2009,5339,Hurricanes,"Houston Secondary, Houston, Minnesota",43.759324500000005,-91.57153240454599
2010,5340,FAIR Robtics,"Minneapolis, Minnesota",44.9772995,-93.2654692
2011,5347,Gryphons,"Weston, Massachusetts",42.3667625,-71.3031132
2012,5348,Charger Robotics,"Cokato, Minnesota",45.075043,-94.1903675
2013,5350,Hope Robotics,"Chicago Hope Academy, Chicago, Illinois",41.870141450000006,-87.68058240117486
2014,5401,Fightin' Robotic Owls,"Bensalem, Pennsylvania",40.1045549,-74.951279
2015,5403,Aluminosity,"Bedford, Indiana",38.8611619,-86.4872149
2016,5404,Gearaffes,"Lansdale, Pennsylvania",40.2414952,-75.2837862
2017,5407,Wolfpack Robotics,"AIM ACADEMY, Conshohocken, Pennsylvania",40.05751255,-75.26462113932956
2018,5410,Eaglebotics,"Pompano Beach, Florida",26.2378597,-80.1247667
2019,5411,PowerEagle,"Prosper, Texas",33.2385763,-96.7866058
2020,5413,Stellar Robotics,"Shelby, Ohio",40.3491604,-84.1593008
2021,5414,Pearadox,"Pearland, Texas",29.5639758,-95.2864299
2022,5417,Eagle Robotics,"Allen, Texas",33.1031744,-96.6705503
2023,5418,The Sonic Screwdrivers,"Hubbard , Hubbard, Ohio",41.1512113,-80.5822823
2024,5419,Natural Disasters,"Berkeley , Berkeley, California",37.8701007,-122.2681385
2025,5420,Velocity,"Bridgeton, New Jersey",39.427337,-75.2340768
2026,5421,Birch Bots,"Birch Wathen Lenox School, New York, New York",40.77246445,-73.95772033259894
2027,5422,Stormgears FRC,"Westford, Massachusetts",42.5792583,-71.4378411
2028,5424,Rogue Robots,"Midland, Michigan",43.6155825,-84.2472117
2029,5427,Steel Talons,"Obra D. Tompkins , Katy, Texas",29.73292725,-95.81445760989502
2030,5429,Black Knights,"Sierra Vista , Las Vegas, Nevada",36.050090100000006,-115.26785675004851
2031,5430,Pirate Robolution,"Pittsburg, California",38.0181745,-121.8901232
2032,5431,Titan Robotics,"Plano, Texas",33.0136764,-96.6925096
2033,5434,Falcon Robotics,"Faribault, Minnesota",43.6647961,-93.9510501
2034,5436,Cyber Cats,"Stoney Creek , Rochester, Michigan",42.69591965,-83.11670940538848
2035,5437,Rocky Balboabots,"Booneville , Booneville, Arkansas",35.1494531,-93.8661682
2036,5438,Technological Terrors,"Jersey City, New Jersey",40.7215682,-74.047455
2037,5442,Mechanical Monarchy,"Washington Comm , Washington, Illinois",40.7063735,-89.41952650954076
2038,5447,Team Robotica,"Unionville-Sebewaing , Sebewaing, Michigan",43.6953288,-83.4611629
2039,5448,CCA RoboCougars,"Big Rapids, Michigan",43.698078,-85.483656
2040,5450,St. Helens Robotics and Engineering Club (SHREC),"St Helens , Saint Helens, Oregon",45.84455165,-122.83913396884058
2041,5454,Wild Fire,"Rogers, Arkansas",36.3320197,-94.1185366
2042,5457,Falcobots,"Burlington Twp High, Burlington, New Jersey",40.06356855,-74.83632621639289
2043,5458,Digital Minds,"Woodland, California",38.6786109,-121.7733285
2044,5459,Ipswich TIGERS,"Ipswich High, Ipswich, Massachusetts",42.68901,-70.8524735
539,5460,Strike Zone,"Lapeer Community , Lapeer, Michigan",43.0688078,-83.331969
2046,5461,V.E.R.N.,"Boise, Idaho",43.6166163,-116.200886
2047,5462,2PawR (2 Paw Robotics),"Paw Paw , Paw Paw, Michigan",42.2178171,-85.8911246
2048,5464,Bluejacket Robotics,"Cambridge-Isanti , Cambridge, Minnesota",45.5598576,-93.2641825
2049,5465,Binary Bots,"Chandler, Arizona",33.3062031,-111.8411851
2050,5467,RoboTractors,"Fordson , Dearborn, Michigan",42.29403215,-83.14781382504574
2051,5468,Chaos Theory,"Summit , Bend, Oregon",44.0562628,-121.3610487039112
2052,5470,The Cowpunchers,"Coopersville , Coopersville, Michigan",43.076827699999996,-85.94082571844811
2053,5471,W.Hi.R.R.,"Winthrop , Winthrop, Maine",44.3047913,-69.9214382
2054,5472,Stallion Robotics,"Delray Beach, Florida",26.4614625,-80.0728201
2055,5473,Team Spitfire.,"West Michigan Aviation Academy, Grand Rapids, Michigan",42.8847299,-85.5344723
2056,5474,Clairemonster,"Clairemont High, San Diego, California",32.809223349999996,-117.20394065648388
2057,5477,NuBotX - Nubotics STEAMPunk,"Vista, California",33.2000368,-117.2425355
2058,5478,Pershing Doughbots,"Pershing , Detroit, Michigan",42.4370826,-83.0699429
2059,5480,FYRE (FIRST Young Robotics Engineers),"Reno, Nevada",39.5261206,-119.8126581
2060,5482,Roarbotics,"The Lovett School, Atlanta, Georgia",33.860779449999995,-84.45014000366004
2061,5484,Career Academy Robotics,"South Bend, Indiana",41.6833813,-86.2500066
2062,5486,Robotic Turmoil,"Lake Linden-Hubbell , Lake Linden, Michigan",47.1940052,-88.407427
2063,5490,The Dark Byte,"Moravian Academy, Bethlehem, Pennsylvania",40.62102245,-75.37815481103739
2064,5491,Cognitive Hazard,"Winchendon, Massachusetts",42.6587935,-72.0490326
2065,5492,Winner's Circle Robo Jockeys,"Louisville, Kentucky",38.2542376,-85.759407
2066,5493,SMAbotics AG,"Englewood, Colorado",39.6482059,-104.9879641
2067,5494,Bizarbots Robotics,"Holbrook, Massachusetts",42.1552232,-71.008958
2068,5496,Robo Knights,"Vacaville, California",38.3565773,-121.9877444
2069,5498,Wired Devils,"Grosse Ile , Grosse Ile, Michigan",42.1381749,-83.15412265585888
2070,5499,The Bay Orangutans,"Berkeley, California",37.8708393,-122.272863
2071,5500,Jaguars Robotics & ROVs,"Long Beach, California",33.7690164,-118.191604
2072,5501,Bobcats,"Burr Oak , Burr Oak, Michigan",41.847272,-85.3185899
2073,5502,Cobrots,"Jonesville , Jonesville, Michigan",41.9854803,-84.6818726
2074,5503,Smithville Tiger Trons,"Smithville, Texas",30.0056275,-97.1559077
2075,5504,The Loose Connections,"Pinconning , Pinconning , Michigan",43.8590577,-83.9611987
2076,5505,V2 Robotics,"Alpena , Alpena, Michigan",45.0616794,-83.4327528
2077,5506,Midcoast MAINEiacs,"Searsport District , Searsport, Maine",44.463783,-68.92687498631268
2078,5507,Robotic Eagles,"George Washington High, San Francisco, California",37.77847585,-122.49107259757233
2079,5508,Wolfbots,"Knoxville, Tennessee",35.9603948,-83.9210261
2080,5509,Like a Boss.,"Midland , Midland, Michigan",43.6155825,-84.2472117
2081,5510,The Da Vinci Coders,"Los Angeles, California",34.0536909,-118.242766
2082,5511,Cortechs Robotics,"Cary, North Carolina",35.7882893,-78.7812081
2083,5514,MavBots,"Carlsbad, California",33.1580933,-117.3505966
2084,5517,The Engineers on Fire,"Madison Academy - , Burton, Michigan",42.9835097,-83.61750615299148
2085,5518,Techno Wolves,"Apex, North Carolina",35.7325352,-78.8505516
2086,5523,RoboWarriors,"Grass Lake , Grass Lake, Michigan",42.2508691,-84.2130083
2087,5524,MacroProcessors ,"Birch Run , Birch Run, Michigan",43.250859,-83.794131
2088,5525,Alcona Tool Cats,"Lincoln, Michigan",44.684735,-83.412194
2089,5527,Cyber Phoenix,"Flint, Michigan",43.0161693,-83.6900211
2090,5530,The Lawnmowers,"Greenhills School, Ann Arbor, Michigan",42.2854038,-83.67835424079865
2091,5531,Orange Crush,"Dearborn , Dearborn, Michigan",42.3070364,-83.23521
2092,5532,The G.O.A.T.S,"Detroit, Michigan",42.3315509,-83.0466403
2093,5533,Electric Horse Power,"Clio , Clio, Michigan",43.1769551,-83.73651475720573
2094,5534,Onaway Onabots,"Onaway, Michigan",45.357512,-84.223903
2095,5535,Bionic Bison,"New Buffalo, Michigan",41.7952562,-86.7444526
2096,5538,Vikingbots,"Swan Valley , Saginaw, Michigan",43.4108595,-84.077756
2097,5539,DVHS Cyborgs,"Desert View , Tucson, Arizona",32.1364454,-110.90494830963635
2098,5541,Shakopee Robotics,"Shakopee, Minnesota",44.7980186,-93.5268986
2099,5542,RoboHerd,"Buffalo, Minnesota",45.1719084,-93.8746941
2100,5544,SWIFT Robotics,"Vass, North Carolina",35.2562684,-79.2822491
2101,5546,⚒️ A.R.T. ⚒️,"Petersburg, Virginia",37.227928,-77.4019268
2102,5547,The Talons,"Hale , Hale, Michigan",44.3776881,-83.806804
2103,5549,Gryphon Robotics,"Marshall High, Falls Church, Virginia",38.9063647,-77.21252786888141
2104,5550,Broncho Bots,"Bethany Hs, Bethany, Oklahoma",35.5147327,-97.6319164
2105,5555,Spartans,"Warren, Michigan",42.4932575,-83.0062746
2106,5556,Carriagetown Robotics,"Amesbury, Massachusetts",42.8579536,-70.9300921
2107,5557,BB-R8ERS,"Miami, Florida",25.7741728,-80.19362
2108,5559,Gear Grinders,"Camden-Frontier , Camden, Michigan",41.781438,-84.7063438
2109,5560,Central Lake Trobotics,"Central Lake, Michigan",45.0701616,-85.2641566
2110,5561,Raider Robotics,"Flushing , Flushing, Michigan",43.07274785,-83.86055096837607
2111,5562,Laker Logistics,"Maple City, Michigan",44.8555843,-85.8557538
2112,5563,Phalanx,"Lynn, Massachusetts",42.466763,-70.9494939
2113,5567,Code Red Robotics ,"Milan , Milan, Michigan",42.094765800000005,-83.66873350846663
2114,5568,Solid Rock ,"Bentonville, Arkansas",36.3728538,-94.2088172
2115,5572,ROSBOTS,"Lee H S, San Antonio, Texas",29.502288,-98.490552
2116,5576,Team Terminator,"Spirit Lake , Spirit Lake, Iowa",43.4226237,-95.1117229
2117,5577,Kinematic Wolves,"Detroit Cristo Rey , Detroit, Michigan",42.31642405,-83.10182012610741
2118,5578,Metro Mechanical Monsters,"Oklahoma City, Oklahoma",35.4729886,-97.5170536
2119,5582,Rex Machina,"Sharpsburg, Georgia",33.3392842,-84.6485417
2120,5583,SistamatiK,"Rosati-Kain , Saint Louis, Missouri",38.64197655,-90.2534426836875
2121,5586,Bond Brigade,"Kiel High, Kiel, Wisconsin",43.9241596,-88.0320402
2122,5587,Titan Robotics,"Alexandria, Virginia",38.8051095,-77.0470229
2123,5588,Reign Robotics,"Holy Names Academy, Seattle, Washington",47.62607555,-122.30418194524279
2124,5590,Alumiboti,"Buffalo, New York",42.8867166,-78.8783922
2125,5595,NRHS TigerBytes,"New Richmond High, New Richmond, Wisconsin",45.0981285,-92.52820753409964
