,teamNumber,location,latitude,longitude
2590,6565,"Arapahoe Charter School, Arapahoe, North Carolina",35.0121461,-76.8211724
2591,6566,"Lamphere , Madison Heights, Michigan",42.5118504,-83.1001917
2592,6567,"Lake Shore , Saint Clair Shores, Michigan",42.5221777,-82.8809385
2593,6568,"Decatur , Decatur, Michigan",42.1080979,-85.9744569
2594,6569,"Ontonagon, Michigan",46.6471877,-89.3293792
2595,6570,"Whiteford , Ottawa Lake, Michigan",41.76869705,-83.73926521661609
2596,6573,"Alanson, Michigan",45.444178,-84.786712
2597,6574,"Whitewater High, Whitewater, Wisconsin",42.825008800000006,-88.75451096522688
2598,6580,"Marshall Academy, Marshall, Michigan",42.2521435,-84.93964411480661
2599,6581,"Hancock, Michigan",47.126871,-88.580956
2600,6582,"Vestaburg Community , Vestaburg, Michigan",43.3968516,-84.9069816
2601,6583,"New School High, Plymouth, Michigan",42.3584884,-83.497746
2602,6584,"Academy of the Holy Cross, Kensington, Maryland",39.032389300000006,-77.09921393429983
2603,6585,"Many Farms , Many Farms, Arizona",36.3658347,-109.6281647
2604,6586,"Arkansas , Texarkana, Arkansas",33.4375097,-94.02581756435553
2605,6588,"Lawton , Lawton, Michigan",42.1684675,-85.84075625543946
2606,6589,"Bloomingdale, Michigan",42.3828129,-85.9569675
2607,6590,"Brooklyn, New York",40.6526006,-73.9497211
2608,6591,"Stockbridge , Stockbridge, Michigan",42.4511466,-84.1805146
2609,6592,"Lansing, Michigan",42.7337712,-84.5553805
2610,6593,"Richmond Hill , Richmond Hill, New York",40.636133799999996,-74.10551405851064
2611,6594,"Everett , Lansing, Michigan",42.6929427,-84.5566439
2612,6595,"Eastern , Lansing, Michigan",42.735428299999995,-84.53684380681057
2613,6597,"Saginaw, Michigan",43.4200387,-83.9490365
2614,6599,"Northport Public School, Northport, Michigan",45.12852175,-85.61917549372359
2615,6600,"Baldwin, Michigan",43.901123,-85.851729
2616,6601,"Staten Island, New York",40.5834557,-74.1496048
2617,6610,"Bendle , Burton, Michigan",42.9814164,-83.6571765
2618,6611,"Au Gres, Michigan",44.04863,-83.695816
2619,6612,"Deer Valley High, Antioch, California",37.9629309,-121.77596341627702
2620,6613,"Hurley, Wisconsin",46.4496698,-90.186564
2621,6615,"Belleville , Belleville, Michigan",42.12113085,-83.53554618641706
2622,6616,"Western International , Detroit, Michigan",42.3191318,-83.09172259821517
2623,6618,"Flat Rock Community , Flat Rock, Michigan",42.09991815,-83.28223729463897
2624,6619,"Livermore High, Livermore, California",37.68231575,-121.758903394176
2625,6620,"North Smithfield , Slatersville, Rhode Island",42.01125775,-71.59097756793646
2626,6621,"Chatham , Chatham, New York",42.3642517,-73.5948391
2627,6624,"Marinette High, Marinette, Wisconsin",45.0933187,-87.6184399
2628,6626,"Andrews, South Carolina",33.451278,-79.5608971
2629,6627,"Niles, Michigan",41.8297694,-86.2541768
2630,6628,"Kerkhoven Secondary, Kerkhoven, Minnesota",45.19518335,-95.32255807813937
2631,6630,"Union , La Porte City, Iowa",42.3146919,-92.19914904779199
2632,6631,"Reese , Reese, Michigan",43.457107,-83.698736
2633,6633,"Detroit, Michigan",42.3315509,-83.0466403
2634,6635,"Jackson, Michigan",42.2416466,-84.425589
2635,6636,"Jamaica, New York",40.7029134,-73.8006429
2636,6637,"Carney, Michigan",45.586635,-87.557345
2637,6638,"Fulton , Middleton, Michigan",43.184797450000005,-84.70508822285166
2638,6639,"Hickory, North Carolina",35.7333312,-81.3442915
2639,6640,"Mayflower , Mayflower, Arkansas",34.95813605,-92.42294937296685
2640,6642,"Harrison Community , Harrison, Michigan",44.0198921,-84.8009408
2641,6643,"Walden Iii High, Racine, Wisconsin",42.7267727,-87.81129589962664
2642,6644,"Rocklin High, Rocklin, California",38.813479799999996,-121.25218960972272
2643,6645,"Crosby , Crosby, Texas",29.89947185,-95.06859037012802
2644,6646,"Belton, Texas",31.0560132,-97.464453
2645,6648,"John Adams , Ozone Park, New York",40.6787674,-73.83733881374907
2646,6649,"Charlton Heston Academy, Saint Helen, Michigan",44.352691,-84.4070489
2647,6650,"Fresno High, Fresno, California",36.7677265,-119.805146
2648,6651,"Sterling , Sterling, Illinois",41.8038907,-89.69223739954907
2649,6654,"Central , Knoxville, Tennessee",35.96615155,-83.92073379964478
2650,6655,"Arlington, Texas",32.7355816,-97.1071186
2651,6656,"Payson, Arizona",34.2406479,-111.3230261
2652,6657,"Visalia, California",36.3302284,-119.292058
2653,6658,"Eagle Rock High, Los Angeles, California",34.13153855,-118.2053401259003
2654,6659,"Escondido High, Escondido, California",33.14630115,-117.09193097885372
2655,6660,"Nerinx Hall , Saint Louis, Missouri",38.58959155,-90.34096738103432
2656,6662,"College Park High, Pleasant Hill, California",37.9644531,-122.07129010629676
2657,6664,"Pharr, Texas",26.1947962,-98.1836216
2658,6665,"Santa Catalina School, Monterey, California",36.5910559,-121.86847954668303
2659,6667,"Chester, Pennsylvania",39.9829308,-75.7652424
2660,6668,"Hesperia High, Hesperia, California",34.4361101,-117.3253234
2661,6670,"Bay View High, Milwaukee, Wisconsin",42.9945412,-87.89925508079484
2662,6671,"Fort Worth, Texas",32.753177,-97.3327459
2663,6672,"Cistercian Preparatory School, Irving, Texas",32.8537432,-96.92195637766193
2664,6674,"Maricopa Institute of Technology, Phoenix, Arizona",33.413325349999994,-112.18011268215632
2665,6677,"Pascagoula, Mississippi",30.3646795,-88.5585995
2666,6680,"Pocatello, Idaho",42.8620287,-112.450627
2667,6682,"La Luz, New Mexico",32.9778652,-105.941933
2668,6683,"Mountain Ridge , Glendale, Arizona",33.691593850000004,-112.20558905948747
2669,6684,"Carrizo Springs, Texas",28.5249088,-99.8616529
2670,6685,"Royal Palm Beach , West Palm Beach, Florida",26.68466805,-80.19145345231306
2671,6686,"Palm Beach Central , West Palm Beach, Florida",26.6962978,-80.0747082969558
2672,6688,"Family/Community, San Jose, California",37.2579095,-121.7783053
2673,6690,"Merrimack Valley , Concord, New Hampshire",43.27422755,-71.59085752639163
2674,6691,"Brewster Academy, Wolfeboro, New Hampshire",43.5823751,-71.2074455
2675,6692,"Aquinas , San Bernardino, California",34.1416837,-117.2442122
2676,6693,"Ridge View High, Columbia, South Carolina",34.1635584,-80.91128461782554
2677,6695,"San Marcos, California",33.1433723,-117.1661449
2678,6696,"Corbett School, Corbett, Oregon",45.52946,-122.29644202869515
2679,6699,"Buhach Colony High, Atwater, California",37.3482238,-120.57348426139635
2680,6704,"Mid Pacific Institute - , Honolulu, Hawaii",21.3034388,-157.8172259508168
2681,6705,"Dunwoody , Atlanta, Georgia",33.8566402,-84.3580197
2682,6707,"Renville, Minnesota",44.7242874,-94.9084771
2683,6709,"Big Lake, Minnesota",45.3324647,-93.7460804
2684,6711,"Atwater High, Atwater, California",37.36825045,-120.61656785643002
2685,6712,"North Murray , Chatsworth, Georgia",34.807964150000004,-84.8082499216572
2686,6714,"Augusta, Georgia",33.4709714,-81.9748429
2687,6715,"Hephzibah , Hephzibah, Georgia",33.3165449,-82.0948318343988
2688,6716,"Academy of Richmond County , Augusta, Georgia",33.46992605,-81.96240974916492
2689,6717,"Emery High, Castle Dale, Utah",39.22649585,-111.02223276269139
2690,6718,"Oakland Technical High, Oakland, California",37.8319425,-122.25558103646526
2691,6720,"Walker, Minnesota",47.101709,-94.585026
2692,6721,"Indianapolis, Indiana",39.7683331,-86.1583502
2693,6722,"Sunlake , Land O Lakes, Florida",28.20067795,-82.50713707803335
2694,6723,"Williamstown, Massachusetts",42.7135472,-73.2094566
2695,6727,"Belton, Texas",31.0560132,-97.464453
2696,6729,"Lumberton, North Carolina",34.6183433,-79.0083993
2697,6730,"Oklahoma City, Oklahoma",35.4729886,-97.5170536
2698,6731,"Belmont High, Belmont, Massachusetts",42.3941516,-71.16566346377321
2699,6732,"Bruce High, Bruce, Wisconsin",45.4599643,-91.2737662
2700,6742,"Universal Learning Academy, Westland, Michigan",42.3542922,-83.31823838909821
2701,6743,"Dunbar , Fort Myers, Florida",26.631187,-81.83421496890372
2702,6744,"Mehlville , Saint Louis, Missouri",38.5083865,-90.3228941
2703,6746,"Our Lady of Mercy Academy, Syosset, New York",40.822599,-73.4831786
2704,6748,"Dobson , Mesa, Arizona",33.3623066,-111.86783195234526
2705,6749,"Hopkins, Minnesota",44.9271194,-93.4074945
2706,6750,"Stockbridge, Georgia",33.5442781,-84.2338093
2707,6751,"Sunset , Dallas, Texas",32.746404999999996,-96.85435475925945
2708,6753,"Calvary Baptist Academy, Midland, Michigan",43.6536914,-84.27464816417944
2709,6754,"Edinburg, Texas",26.3013982,-98.1624501
2710,6755,"Summit High, Fontana, California",34.1485474,-117.46439624268987
2711,6758,"Kasson, Minnesota",44.0297055,-92.7503451
2712,6762,"Hillsboro-Deering , Hillsborough, New Hampshire",43.1170297,-71.90196361135914
2713,6763,"Manchester School of Technology, Manchester, New Hampshire",42.963421,-71.43158605796631
2714,6764,"Fillmore, California",34.401749499999994,-118.917766849615
2715,6765,"Columbus, Ohio",39.9622601,-83.0007065
2716,6768,"Denison, Texas",33.7556593,-96.536658
2717,6800,"Austin, Texas",30.2711286,-97.7436995
2718,6802,"Cedar Bluff, Virginia",37.0876141,-81.7590032
2719,6804,"Livingston High, Livingston, California",37.376319800000005,-120.72115842902542
2720,6805,"Creighton Preparatory School, Omaha, Nebraska",41.27201345,-96.02635299028427
2721,6806,"Mineola , Mineola, New York",40.7404084,-73.6405732
2722,6807,"the Real School, Racine, Wisconsin",42.7158234,-87.9093768
2723,6808,"William Tennent Hs, Warminster, Pennsylvania",40.182497350000006,-75.07076902741551
2724,6809,"Enid, Oklahoma",36.3967623,-97.8791341
2725,6810,"Maringouin, Louisiana",30.4913049,-91.5195542
2726,6811,"Washington, Connecticut",41.6314845,-73.3106731
2727,6812,"Andover, Massachusetts",42.65717,-71.1408776
2728,6814,"Sonoma Academy, Santa Rosa, California",38.418318600000006,-122.68842775855663
2729,6817,"Rolla, Missouri",37.9509324,-91.7708076
2730,6821,"Mira Loma, California",33.98208635,-117.51535113578817
2672,6822,"Family/Community, San Jose, California",37.2579095,-121.7783053
2732,6823,"University School-Milwaukee, Milwaukee, Wisconsin",43.037958399999994,-87.9558448274765
2733,6824,"Las Vegas, Nevada",36.1672559,-115.148516
2734,6825,"Legacy , North Las Vegas, Nevada",36.2846493,-115.14200979257262
2735,6826,"Las Vegas, Nevada",36.1672559,-115.148516
2736,6829,"Suwanee, Georgia",34.0514898,-84.0712997
2737,6830,"Pharr, Texas",26.1947962,-98.1836216
2738,6831,"Hood River Valley  & Hood River Valley , Hood River, Oregon",45.7004398,-121.55826633746983
2739,6833,"Phoenix, Arizona",33.4484367,-112.074141
2740,6834,"Watkins Memorial , Etna, Ohio",39.96432625,-82.64973552308791
2741,6840,"Kirby , Kirby, Arkansas",34.2487513,-93.6422097
2742,6842,"Marietta, Georgia",33.9528472,-84.5496148
2743,6843,"Lees Summit, Missouri",38.8856158,-94.2117959
2744,6844,"Provo, Utah",40.2337289,-111.6587085
2745,6845,"Astoria Senior , Astoria, Oregon",46.187449349999994,-123.8314627
2746,6846,"Central Magnet School, Murfreesboro, Tennessee",35.84576025,-86.37895685655747
2747,6850,"Trinity Catholic , Ocala, Florida",29.1452549,-82.1667594
350,6852,"Temperance, Michigan",41.764759999999995,-83.57222792957555
2749,6855,"Arkadelphia , Arkadelphia, Arkansas",34.1141918,-93.0529819
2750,6858,"Fern Creek Traditional High, Louisville, Kentucky",38.15625785,-85.59260056698169
2751,6860,"International High, Paterson, New Jersey",40.909756650000006,-74.17883603062793
2752,6861,"Livonia, Michigan",42.36837,-83.3527097
2753,6862,"Detroit Leadership Academy, Detroit, Michigan",42.33136125,-83.2330708797351
2754,6863,"Laurel, Maryland",39.1044123,-76.8669233
2755,6868,"Hilton , Hilton, New York",43.28582645,-77.78785030697378
2756,6870,"Buffalo, New York",42.8867166,-78.8783922
2757,6871,"Queen Creek , Queen Creek, Arizona",33.2397007,-111.6329924
2758,6873,"New York, New York",40.7127281,-74.0060152
2759,6877,"Northpointe Christian School, Grand Rapids, Michigan",42.98539575,-85.5947532542791
2760,6880,"Yorktown , Yorktown Heights, New York",41.27274905,-73.7826882693535
2761,6882,"Fredericksburg, Virginia",38.3031837,-77.4605399
2762,6883,"Santa Rosa, California",38.4404925,-122.7141049
2763,6884,"Hollister, California",36.8524545,-121.4016021
2764,6885,"Academy Of Our Lady of Peace, San Diego, California",32.7650502,-117.1355881
2765,6886,"4-H, Warsaw, Missouri",38.2442186,-93.3774013
2766,6887,"Dalton , Dalton, Georgia",34.7748018,-85.0027239
2767,6888,"Connelly Springs, North Carolina",35.7399645,-81.5029788
2768,6889,"Davis County Community , Bloomfield, Iowa",40.7529173,-92.408152
2769,6891,"Asher, Oklahoma",34.9896707,-96.9237064
2770,6892,"Wellsville, New York",42.1220125,-77.9480575
2771,6893,"Bladensburg, Maryland",38.9392997,-76.9337983
2772,6894,"Mountain Island Charter, Mount Holly, North Carolina",35.35947965,-80.98772845177707
2773,6895,"4-H, Walpole, New Hampshire",43.07943,-72.4259189
2774,6897,"East Brunswick High, East Brunswick, New Jersey",40.432571949999996,-74.39856546847048
2775,6898,"Plano, Texas",33.0136764,-96.6925096
2776,6899,"Franklin, North Carolina",35.90503535,-79.04775326525107
2777,6900,"Maud, Oklahoma",35.130355,-96.7758529
2778,6901,"Frisco, Texas",33.1506744,-96.8236116
2779,6904,"Los Angeles, California",34.0536909,-118.242766
2780,6905,"Alpharetta , Alpharetta, Georgia",34.04515915,-84.30762135887473
2781,6906,"Cristo Rey Jesuit , Chicago, Illinois",41.85168765,-87.67295889541049
