,teamNumber,location,latitude,longitude
0,1,"Oakland Schools Technical Campus Northeast, Pontiac, Michigan",42.66901585,-83.2639979106961
1,4,"Van Nuys, California",34.1866193,-118.4486675
2,8,"Palo Alto High, Palo Alto, California",37.4358242,-122.15533274071367
3,11,"Flanders, New Jersey",40.8456549,-74.6948843
4,16,"Mountain Home, Arkansas",36.3361391,-92.3801187
5,20,"Shenendehowa , Clifton Park, New York",42.86963355,-73.80857595105246
6,21,"Astronaut  & Titusville , Titusville, Florida",28.62479625,-80.85131104290072
7,23,"Plymouth North High, Plymouth, Massachusetts",41.944555550000004,-70.65262249504039
8,25,"North Brunswick Twp High, North Brunswick, New Jersey",40.452812,-74.4686784
9,27,"Clarkston , Clarkston, Michigan",42.73905605,-83.39198639025453
10,28,"Sag Harbor, New York",40.9978727,-72.2922292
11,31,"Jenks, Oklahoma",36.0228734,-95.9683278
12,33,"Notre Dame Preparatory, Auburn Hills, Michigan",42.6732124,-83.25969529028427
13,34,"Athens, Alabama",34.8045487,-86.9711698
14,41,"Warren, New Jersey",40.8602222,-74.9720493
15,45,"Kokomo , Kokomo, Indiana",40.4594635,-86.13026910233465
16,48,"Warren, Ohio",39.4203978,-84.180897
17,51,"Pontiac , Pontiac, Michigan",42.6327117,-83.292362
18,56,"Bound Brook High, Bound Brook, New Jersey",40.56758355,-74.53671162974499
19,58,"South Portland , South Portland, Maine",43.63323285,-70.31731723892223
20,59,"Miami Coral Park Senior High, Miami, Florida",25.75665545,-80.33947220677479
21,60,"Kingman, Arizona",35.189443,-114.0530065
22,61,"Blackstone Valley, Upton, Massachusetts",42.16241105,-71.61686258334356
23,63,"Mcdowell Hs, Erie, Pennsylvania",42.07512135,-80.151092082339
24,66,"Ypsilanti STEMM Middle College, Ypsilanti, Michigan",42.2440229,-83.6459756
25,67,"Huron Valley Schools, Highland, Michigan",42.6840138,-83.57680010030208
26,68,"Brandon , Ortonville, Michigan",42.86965525,-83.40327667049881
27,69,"Quincy, Massachusetts",42.2509914,-71.0037374
28,70,"Goodrich , Goodrich, Michigan",42.9139472,-83.51396339564499
29,71,"Hammond, Indiana",41.5833658,-87.500043
30,74,"Holland, Michigan",42.7876022,-86.1090828
31,75,"Hillsborough High, Hillsborough, New Jersey",40.49492615,-74.65687728532075
32,78,"Newport, Rhode Island",41.5524614,-71.27037832834264
33,79,"East Lake , Tarpon Springs , Florida",28.1089,-82.68774843410688
