,teamNumber,location,latitude,longitude
500,1572,"San Diego, California",32.7174202,-117.1627728
501,1583,"Watkins, Colorado",39.7443406,-104.6031986
502,1584,"Nederland, Colorado",39.9613759,-105.510831
503,1585,"Red Jacket , Shortsville, New York",42.95737655,-77.23137565374518
504,1590,"Lorain , Lorain, Ohio",41.4673238,-82.1781904
505,1591,"Rochester, New York",43.157285,-77.615214
506,1592,"Cocoa, Florida",28.3553873,-80.7318827
507,1595,"St George's School, Spokane, Washington",47.76526295,-117.46988704214598
508,1596,"Sault Sainte Marie, Michigan",46.5000696,-84.33902197021817
509,1598,"George Washington High, Danville, Virginia",36.5854547,-79.41360903350531
510,1599,"Atlee High, Mechanicsville, Virginia",37.664631400000005,-77.41037156722481
511,1600,"Brooklyn, New York",40.6526006,-73.9497211
512,1601,"Long Island City, New York",40.7415095,-73.9569751
513,1610,"Franklin High, Franklin, Virginia",37.00388125,-79.87891400174091
514,1619,"Longmont, Colorado",40.1672117,-105.1019287
515,1622,"Poway High, Poway, California",32.998856450000005,-117.02589803259173
516,1625,"Winnebago  & Pecatonica , Winnebago, Illinois",42.31438905,-89.37246654092738
517,1626,"Metuchen, New Jersey",40.5431598,-74.3632049
518,1629,"Accident, Maryland",39.6289521,-79.3208439
519,1633,"Tempe , Tempe, Arizona",33.3343092,-111.92724935996561
520,1635,"Newtown , Elmhurst, New York",40.7372246,-73.8772168
521,1640,"Downingtown, Pennsylvania",40.0064958,-75.7032742
522,1642,"Ft. Worth, Texas",32.753177,-97.3327459
523,1646,"Jefferson , Lafayette, Indiana",40.3985889,-86.8751701
524,1647,"Vincentown, New Jersey",39.9340023,-74.7484938
525,1648,"Grady , Atlanta, Georgia",33.7517323,-84.3820052053816
526,1649,"Windermere, Florida",28.4944695,-81.5345547
527,1658,"South Technical, St. Louis, Missouri",38.5427343,-90.41495113514318
528,1660,"Frederick Douglass Academy, New York, New York",40.8238576,-73.9359461
529,1661,"The Buckley School, Sherman Oaks, California",34.13959255,-118.44384496703368
530,1662,"Lodi, California",38.1301968,-121.2724473
531,1665,"Hudson, New York",42.2528649,-73.790959
532,1671,"Buchanan High, Clovis, California",36.85531615,-119.71366381491444
533,1672,"Mahwah , Mahwah, New Jersey",41.0942222,-74.1466219
534,1675,"Milwaukee, Wisconsin",43.0349931,-87.922497
535,1676,"Montvale, New Jersey",41.0467635,-74.0229173
536,1677,"Kalamazoo, Michigan",42.291707,-85.5872286
537,1678,"Davis Senior High, Davis, California",38.5583782,-121.7502164179157
538,1683,"Northview , Johns Creek, Georgia",34.03911975,-84.17762775214132
539,1684,"Lapeer Community , Lapeer, Michigan",43.0688078,-83.331969
540,1699,"Bacon Academy, Colchester, Connecticut",41.578275649999995,-72.3021320475728
541,1700,"Castilleja School, Palo Alto, California",37.438614799999996,-122.15171369624989
542,1701,"Detroit, Michigan",42.3315509,-83.0466403
543,1706,"Wentzville, Missouri",38.8244136,-90.8683119
544,1708,"McKeesport, Pennsylvania",40.3478472,-79.864215
545,1710,"Olathe Northwest , Olathe, Kansas",38.92892235,-94.82983268032251
546,1711,"Central , Traverse City, Michigan",44.7578699,-85.6292091147186
547,1712,"Lower Merion Hs, Ardmore, Pennsylvania",40.007800599999996,-75.27927348540842
548,1714,"Milwaukee, Wisconsin",43.0349931,-87.922497
549,1716,"De Pere High, De Pere, Wisconsin",44.4411022,-88.04442836004102
550,1718,"Armada, Michigan",42.8441964,-82.8843722
