,teamNumber,location,latitude,longitude
1500,4175,"Teton , Driggs, Idaho",43.720297,-111.108766
1501,4176,"North Easton, Massachusetts",42.0667665,-71.1036592
1502,4179,"Cantonment, Florida",30.605427,-87.344442
1503,4180,"Roosevelt , Seattle, Washington",47.6766289,-122.315975
1504,4181,"Blackduck, Minnesota",47.7333383,-94.548233
1505,4182,"Minneota, Minnesota",44.55885,-95.985586
1506,4183,"City , Tucson, Arizona",32.173940349999995,-110.98859655624449
1507,4186,"Alameda, California",37.6090291,-121.899142
1508,4187,"Mount Vernon , Mount Vernon, Illinois",38.319863999999995,-88.85197124307963
1509,4188,"Hardaway  & Columbus , Columbus, Georgia",32.5668056,-84.8532636
1510,4189,"Jefferson, Georgia",33.0380388,-82.436141
1511,4192,"Flower Mound, Texas",33.0283854,-97.0867203
1512,4193,"South Cobb , Austell, Georgia",33.8353088,-84.60918099660879
1513,4195,"Rome, Georgia",34.257038,-85.1646726
1514,4198,"Waconia, Minnesota",44.8507957,-93.7869088
1515,4201,"El Segundo, California",33.917028,-118.4156337
1516,4203,"Oneonta, New York",42.453492,-75.0629531
1517,4205,"Sedro Woolley Senior , Sedro Woolley, Washington",48.500274149999996,-122.23687781465318
1518,4206,"Nolan Catholic , Fort Worth, Texas",32.7614466,-97.25614201673594
1519,4207,"Holy Family Catholic , Victoria, Minnesota",44.8568822,-93.64377178805867
1520,4209,"Baton Rouge, Louisiana",30.4507936,-91.1391153
1521,4212,"Knox County, Galesburg, Illinois",40.9419283,-90.3722582708558
1522,4213,"McLean County 4-H, Bloomington, Illinois",40.483723,-88.988668
1523,4215,"Saint Paul, Minnesota",44.9497487,-93.0931028
1524,4216,"East Jackson , Jackson, Michigan",42.25511155,-84.19419615160614
1525,4217,"Nashwauk Secondary, Nashwauk, Minnesota",47.37586625,-93.16651841367526
1526,4219,"Roosevelt H S, San Antonio, Texas",29.3704943,-98.4812724
1527,4225,"Saint Paul, Minnesota",44.9497487,-93.0931028
1528,4226,"Albany, Minnesota",45.6299647,-94.5700048
1529,4229,"Saint Paul, Minnesota",44.9497487,-93.0931028
1530,4230,"Duluth, Minnesota",46.7729322,-92.1251218
1531,4232,"Alton , Alton, Illinois",38.921259,-90.1571392
1532,4235,"Madison County  & Madison County 4H, Danielsville, Georgia",34.119824,-83.208056
1533,4237,"Lakeshore , Stevensville, Michigan",42.0069384,-86.5280467
1534,4238,"Belgrade, Minnesota",45.4530207,-95.0044608
1535,4239,"Willmar Senior High, Willmar, Minnesota",45.15164165,-95.00595927713594
1536,4240,"Albany, Georgia",31.5782062,-84.1556809
1537,4241,"Joliet Township HS 204, Joliet, Illinois",41.5156358,-88.1452045
1538,4242,"Washington, District of Columbia",38.8950368,-77.0365427
1539,4243,"Charleston County School District, Charleston, South Carolina",32.78791794999999,-79.93070255258162
1540,4246,"Triad , Troy, Illinois",38.7345214,-89.8811288
1541,4247,"Milwaukee, Wisconsin",43.0349931,-87.922497
1542,4255,"Monterey High, Monterey, California",36.59498145,-121.90026218834343
1543,4256,"Chesterfield, Missouri",38.661953,-90.5643258
1544,4260,"Blue Earth Area, Minnesota",43.63921525,-94.09791415073181
1545,4263,"Lower East Side Preparatory , New York, New York",40.7200452,-73.9860347601194
1546,4264,"Rogersville, Tennessee",36.407317,-83.0054423
1547,4265,"Oak Ridge , Oak Ridge, Tennessee",35.93013315,-84.3119306644879
1548,4267,"Socastee High, Myrtle Beach, South Carolina",33.684912100000005,-78.99738099282501
1549,4269,"Saint Charles Preparatory School, Columbus, Ohio",39.9697563,-82.94730744349414
1550,4270,"St Louis School, Honolulu, Hawaii",21.2887438,-157.807924
1551,4272,"Mccutcheon , Lafayette, Indiana",40.3511513,-86.903208
1552,4276,"Marina High, Huntington Beach, California",33.7315382,-118.0278074337755
1553,4277,"Minneapolis, Minnesota",44.9772995,-93.2654692
1554,4281,"Center School, Somerset, New Jersey",40.56066575,-74.69711410558372
1555,4283,"Granville , Granville, Ohio",40.0681192,-82.5196037
1556,4284,"Oak Hills , Cincinnati, Ohio",39.1295048,-84.4933981
1557,4285,"Honesdale, Pennsylvania",41.5767552,-75.2587871
