,teamNumber,nameShort,location,latitude,longitude
1200,3556,GET SMART,"Lake City, Florida",30.1894252,-82.6394803
1201,3559,Thundercats,"Jasper , Jasper, Indiana",38.402648,-86.94720720226456
1202,3561,RoboRaiders,"San Antonio, Texas",29.4246002,-98.4951405
1203,3562,LiveWire Robotics 3562,"4-H, Pocatello, Idaho",42.8620287,-112.450627
1204,3566,Gone Fishin',"St Mark's School, Southborough, Massachusetts",42.309457,-71.5297621
1205,3568,RoboEagles,"Linden , Linden, Michigan",42.80870675,-83.81524363637799
1206,3570,Pheonix 3570,"Alma , Alma, Michigan",43.381350850000004,-84.67131152493971
1207,3572,Wavelength,"Muskegon, Michigan",43.2341813,-86.2483921
1208,3574,HIGH TEKERZ,"Seattle, Washington",47.6038321,-122.330062
1209,3577,Saint's Robotics,"Mesa, Arizona",33.4151005,-111.8314552
1210,3581,THINC Robotics Alliance,"Lagrange, Georgia",33.039291,-85.0313269
1211,3588,the Talon,"Renton, Washington",47.4799078,-122.2034496
1212,3591,"Wild WarBots ""WWB""","Westerville, Ohio",40.126139,-82.9295287
1213,3593,Invictus,"Tulsa, Oklahoma",36.1563122,-95.9927516
1214,3596,Rocket Robotics,"South Milwaukee , South Milwaukee, Wisconsin",43.0215475,-88.01286455037508
1215,3597,Robo-Rangers,"R W Traip Academy, Kittery, Maine",43.0886555,-70.7384661
1216,3598,SEStematic Eliminators,"Sacramento, California",38.5810606,-121.493895
1217,3602,RoboMos,"Escanaba, Michigan",45.7455707,-87.0647434
1218,3603,Cyber Coyotes,"Reed City , Reed City, Michigan",43.8757186,-85.5138541
1219,3604,Goon Squad,"Woodhaven , Brownstown, Michigan",42.12181675,-83.2713104314644
1220,3606,BearMetal,"Catholic , Baton Rouge, Louisiana",30.4405309,-91.15540999653139
1221,3610,Islanders,"DeLaSalle , Minneapolis, Minnesota",44.98745835,-93.26261510363133
1222,3616,Team Phenomena 3616,"Lafayette, Louisiana",30.2043259,-92.0298813
1223,3617,Cold Logic,"Marquette Senior , Marquette, Michigan",46.5540478,-87.41483743717552
1224,3618,Petoskey Paladins,"Petoskey , Petoskey, Michigan",45.3997916,-84.90864925539746
1225,3619,Blackhawks,"Detroit, Michigan",42.3315509,-83.0466403
1226,3620,Average Joes,"St Joseph , Saint Joseph, Michigan",42.1091645,-86.4845239
1227,3623,TerrorBots,"Leominster, Massachusetts",42.5267443,-71.7614891
1228,3624,ThunderColts,"Huntington Station, New York",40.8534318,-73.4115091
1229,3627,The Jungle Robotics,"Pine View School, Sarasota, Florida",27.1865252,-82.47954044498053
1230,3630,Stampede,"Minneapolis, Minnesota",44.9772995,-93.2654692
1231,3632,D-Techs,"Detroit School of Arts, Detroit, Michigan",42.34845255,-83.06108663776149
1232,3633,Catalyst 3633,"Albert Lea , Albert Lea, Minnesota",43.6539778,-93.33743507524932
1233,3634,Spark City,"Bridgeport, Connecticut",41.1670412,-73.2048348
1234,3635, Flying Legion ,"Warner Robins, Georgia",32.6200973,-83.606568
1235,3636,Generals,"Grant , Portland, Oregon",45.53926695,-122.62727539737112
1236,3637,The Daleks,"Flemington, New Jersey",40.5130953,-74.8591333
1237,3641,The Flying Toasters,"South Lyon East  & South Lyon , South Lyon, Michigan",42.4665923,-83.56765022324925
1238,3647,Millennium Falcons,"Torrey Pines , San Diego, California",32.8919572,-117.2402554
1239,3648,Sparta Robotica,"Thomas Jefferson , Denver, Colorado",39.6469321,-104.9213682
1240,3650,RoboRaptors,"La Plata, Maryland",38.5260311,-76.9766569
1241,3651,TRIBE,"Travelers Rest , Travelers Rest, South Carolina",34.9574793,-82.4399558
1242,3653,Botcats,"West Broward , Hollywood, Florida",26.0206457,-80.1839357
1243,3654,TechTigers,"Mercy , Middletown, Connecticut",41.5324649,-72.6752371
1244,3655,Tractor Technicians,"Mason , Mason, Michigan",42.568439850000004,-84.44704913618116
1245,3656, Dexter Dreadbots ,"Dexter , Dexter, Michigan",42.3234969,-83.8724339
1246,3658,Robo - Beavers,"Harper Creek , Battle Creek, Michigan",42.255824700000005,-85.15197823249015
1247,3660,LIGHTSABERS,"Oklahoma City, Oklahoma",35.4729886,-97.5170536
1248,3661,RoboWolves,"Anson County 4H, Wadesboro, North Carolina",34.9558773,-80.0548764
1249,3663,CPR - Cedar Park Robotics,"Cedar Park Christian Schools, Bothell, Washington",47.7466292,-122.18973597973223
1250,3667,Mecanum Knights,"Port Huron, Michigan",42.9815877,-82.440466
1251,3668,TroBots,"Whitmore Lake , Whitmore Lake, Michigan",42.4243473,-83.7658368954677
1252,3669,CarbonKnights,"Ripon Christian, Ripon, California",37.74333505,-121.13341628491213
1253,3673,C.Y.B.O.R.G. Seagulls,"Seaside , Seaside, Oregon",45.98863695,-123.91188504734893
1254,3674,CloverBots,"Battle Ground, Washington",45.7813532,-122.5337433
1255,3676,Redshift Robotics,"James Martin , Arlington, Texas",32.68738755,-97.17998
1256,3679,rattlers,"San Marcos , San Marcos, Texas",29.876536,-97.9411966
1257,3680,Elemental Dragons,"Statesville, North Carolina",35.7826363,-80.8872959
1258,3681,Robo-Raiders,"Nathan Hale , Seattle, Washington",47.70758655,-122.29347962649508
1259,3688,Norsemen,"Suttons Bay , Suttons Bay, Michigan",44.976666,-85.650639
1260,3691,RoboRaiders,"Northfield , Northfield, Minnesota",44.44638845,-93.1767498940564
1261,3692,Rock N' Robotics,"Janesville, Wisconsin",42.6829765,-89.0226793
1262,3693,GearHead Pirates,"Rogers , Spokane, Washington",47.6990328,-117.38701925835656
1263,3695,Foximus Prime,"Yorkville , Yorkville, Illinois",41.656820499999995,-88.44179883590834
1264,3704,RoboSapiens,"Sweetwater , National City, California",32.6541305,-117.0925327
1265,3707,TechnoDogs,"Brighton , Brighton, Michigan",42.526454900000004,-83.79626151269542
1266,3711,Iron Mustang,"Trout Lake School, Trout Lake, Washington",45.989489199999994,-121.51538507112652
1267,3712,RoboCats,"Union , Union, Oregon",45.2095159,-117.8653691
1268,3714,Flowers S.O.A.R.,"Charles Herbert Flowers HS, Springdale, Maryland",38.93148565,-76.83507099953341
1269,3719,STEM Whalers ,"New London , Connecticut",41.3556187,-72.0997804
1270,3721,Charger Robotics,"Pearl City , Pearl CIty, Hawaii",21.379745749999998,-157.97326812599118
1271,3723,TEKnights,"Spring Valley, Minnesota",43.6870098,-92.3892966
1272,3728,Momentum,"Houston, Texas",29.7589382,-95.3676974
1273,3729,The Raiders,"Aurora, Colorado",39.7405111,-104.830994
1274,3734,StarBots,"Lake Forest Academy, Lake Forest, Illinois",42.2478012,-87.8914603
1275,3735,VorTX,"Spring, Texas",30.0798826,-95.4172549
1276,3737,Roto Raptors ,"4-H, Goldsboro, North Carolina",35.3848841,-77.9927651
1277,3740,Storm Robotics,"Sauk Rapids, Minnesota",45.5913275,-94.1673802
1278,3743,Eagle Bots,"Salado , Salado, Texas",30.96604645,-97.53844883466417
1279,3745,Governors,"Saint Paul, Minnesota",44.9497487,-93.0931028
1280,3748,Ragnarok Robotics,"Mt Hebron , Ellicott City, Maryland",39.2992019,-76.83960840595773
1281,3749,Team Optix,"Del Norte , San Diego, California",33.006954,-117.052994
1282,3750,Gator Robotics,"Badger, Minnesota",48.7824188,-96.014453
1283,3751,Tower View Robotics,"Red Wing, Minnesota",44.5624676,-92.5338013
1284,3753,BulahBots!,"Parkview Baptist School, Baton Rouge, Louisiana",30.3976656,-91.05042947334499
1285,3754,TrekNorth First City Robotics,"Treknorth , Bemidji, Minnesota",47.492197,-94.90099
1286,3755,Dragon Robotics,"Litchfield, Minnesota",45.1271847,-94.5280474
1287,3759,SMARTBOTS,"St Mary'S Academy, INGLEWOOD, California",33.9688889,-118.3452778
1288,3760,AeroBots,"Bronx Aerospace , Bronx, New York",40.8752925,-73.8615858
1289,3767,Titans,"Traverse City, Michigan",44.7606441,-85.6165301
1290,3770,BlitzCreek,"Bullock Creek , Midland, Michigan",43.5833605,-84.2477663
1291,3773,Arrowhead Robotics,"Tecumseh , Tecumseh, Michigan",42.011241749999996,-83.95847085824104
1292,3777,Bean City Bots,"Lima, Ohio",40.7399785,-84.105006
1293,3786,Chargers,"Kentridge , Kent, Washington",47.41775015,-122.17292912070039
1294,3792,Army Ants,"Columbia, Missouri",38.951883,-92.3337366
1295,3793,CyberTitans,"Frederick, Maryland",39.415779,-77.4127562
1296,3796,Technical Assassins,"Bertie , Windsor, North Carolina",35.9885957,-76.9289431348214
1297,3799,Electric Fire,"Notre Dame , Elmira, New York",42.0631298,-76.7871773
1298,3800,Mustangs,"Kalaheo , Kailua, Hawaii",21.408515,-157.75084253791434
1299,3802,✨RoboPOP✨,"Carrollton, Texas",32.9537349,-96.8902816
1300,3807,Overland BlazerBots,"Overland , Aurora, Colorado",39.6809107,-104.8433775
1301,3812,Bits & Bots,"Longview, Washington",46.1377048,-122.934462
1302,3814,PiBotics,"Erlanger, Kentucky",39.0167275,-84.6007773
1303,3815,NF Raiders,"North Forsyth , Cumming, Georgia",34.1915515,-84.148556
1304,3821,Pirabots,"Belfry , Belfry, Kentucky",37.6220544,-82.268753
1305,3822,Neon Krakens,"Siler City, North Carolina",35.7234734,-79.4622431
1306,3824,HVA RoHAWKtics,"Knoxville, Tennessee",35.9603948,-83.9210261
1307,3826,"Sequim Robotics Federation ""SRF"" ","Sequim , Sequim, Washington",48.0773973,-123.12928006913222
1308,3834,Crab-bots,"Calhoun , Port Lavaca, Texas",28.62556125,-96.63822970928115
1309,3838,Roc City Robotix,"Rochester, New York",43.157285,-77.615214
1310,3839,SWOLVERINES,"Wadena-Deer Creek , Wadena, Minnesota",46.44036745,-95.14237024956478
1311,3843,ROBO RACERS,"Calloway Co , Murray, Kentucky",36.614995,-88.327082
1312,3844,Kentucky Wildbots,"Corbin, Kentucky",36.9486986,-84.0968761
1313,3847,Spectrum   -△◅,"Houston, Texas",29.7589382,-95.3676974
1314,3848,Bots in Shining Armour,"Kenyon-Wanamingo , Kenyon, Minnesota",44.26762935,-92.99223792413672
1315,3851,The Short Circuits ,"Canoga Park , Canoga Park, California",34.1907428,-118.5963111
1316,3853,Pridetronics,"Mountain Pointe , Phoenix, Arizona",33.325131999999996,-111.99177160564648
1317,3859,Wolfpack Robotics,"Cosumnes Oaks , Elk Grove, California",38.3980835,-121.39727610617771
1318,3863,Pantherbotics,"Newbury Park , Newbury Park, California",34.1828494,-118.9263414
1319,3865,Riley WildBots,"Riley , South Bend, Indiana",41.65328375,-86.24353149889423
1320,3871,Trojan Robotics #3871,"Worthington , Worthington, Minnesota",43.6147154,-95.57557610122856
1321,3875,Red Storm Robotics,"Kentwood, Michigan",42.8694731,-85.6447492
1322,3876,Mabton LugNutz,"Mabton Jr Sr , Mabton, Washington",46.21209,-119.99460502538186
1323,3880,Tiki Techs,"Kealakehe , Kailua Kona, Hawaii",19.66620135,-156.01716275196048
1324,3881,WHEA Sharkbots,"Kailua Kona, Hawaii",19.641941,-155.996933
1325,3882,Lunas,"Lahainaluna , Lahaina, Hawaii",20.8871422,-156.6661717
1326,3883,Data Bits,"Park , Cottage Grove, Minnesota",44.80303485,-92.9658417696806
1327,3889,Leptechons,"Yuma Catholic , Yuma, Arizona",32.6761927,-114.643758483861
1328,3890,Breaking Away,"Bloomington  South, Bloomington, Indiana",39.1534735,-86.5385155
1329,3925,Circuit of Life,"Ventura, California",34.4458248,-119.0779359
1330,3926,MPArors,"Saint Paul, Minnesota",44.9497487,-93.0931028
1331,3928,Team Neutrino,"4-H, Ames, Iowa",42.0267567,-93.6170448
1332,3930,SMART  Spruce Mountain Area Robotics Team,"Spruce Mountain , Jay, Maine",44.5564516,-70.2000603
1333,3931,Cockadoodle Dominators,"Chickasha , Chickasha, Oklahoma",35.051142,-97.939768
1334,3932,The Dirty Mechanics,"Boca Raton, Florida",26.3586885,-80.0830984
1335,3936,RoboBlitz 3936,"Michigan City , Michigan City, Indiana",41.7211099,-86.9055656
1336,3937,Breakaway,"Harding Academy, Searcy, Arkansas",35.24473315,-91.71806105002966
1337,3939,Botetourt 4-H Robotics,"4-H, Troutville, Virginia",37.4181901,-79.8747687
1338,3940,CyberTooth,"Northwestern , Kokomo, Indiana",40.52122515,-86.12833272165574
1339,3941,"FRC TEAM 3941 Absolute Zero Electricity - Northern Chesapeake STEM, Inc.","Aberdeen Proving Ground, Maryland",39.4698142,-76.12733056970433
1340,3944,All Knights,"Tempe Preparatory Academy, Tempe, Arizona",33.39231925,-111.91892962526722
1341,3946,Tiger Robotics,"Slidell , Slidell, Louisiana",30.2784551,-89.782521
1342,3947,The Last Crusaders,"Wilkinson, Indiana",39.8858775,-85.6088646
1343,3950,RoboGym Robotics,"North Shore , Glen Head, New York",40.8384331,-73.631239
1344,3951,SUITS,"4-H, Honeoye, New York",42.7908335,-77.5170721
1345,3952,Troy Robotics,"Troy , Fullerton, California",33.87971845,-117.89311267918565
1346,3953,ROBATS,"Eastvale, California",33.9747067,-117.566541
1347,3954,4-H Electrotechs,"4-H, Emlenton, Pennsylvania",41.1806616,-79.7096141
1348,3957,4-H Robo Rangers,"4-H, New Bethlehem, Pennsylvania",41.001732,-79.3314297
1349,3958,Schrodinger's Cat,"Boston College , Boston, Massachusetts",42.34354395,-71.16041737575102
1350,3959,Mech Tech,"Somerville, Alabama",34.4731491,-86.798612
1351,3965,Sultans,"Santana , Santee, California",32.85778395,-116.96831630923384
1352,3966,L&N STEMpunks,"Knoxville, Tennessee",35.9603948,-83.9210261
1353,3970,Duncan Dynamics,"Fresno, California",36.7394421,-119.7848307
1354,3974,E=mCD,"Bishop Mcdevitt , Wyncote, Pennsylvania",40.0951105,-75.1487862
1355,3976,Electric Hornets,"Lower Richland , Hopkins, South Carolina",33.9229368,-80.8755192
1356,3984,Topper Robotics,"Science Hill , Johnson City, Tennessee",36.327289,-82.3714014
1357,3991,KnightVision,"Episcopal School, Baton Rouge, Louisiana",30.421821100000003,-91.0338063672781
1358,3993,Humanoids,"Hart , Newhall, California",34.3839288,-118.5389091733727
1359,4003,TriSonics,"Allendale , Allendale, Michigan",42.9903205,-85.95296849268018
1360,4004,M.A.R.S. Rovers,"Muskegon, Michigan",43.2341813,-86.2483921
1361,4005,Hostile Gato Robotics,"Ft Gibson , Fort Gibson, Oklahoma",35.803802000000005,-95.25792674827194
1362,4008,Theodore Roosevelt's Disco Haircut,"Pike Central , Petersburg, Indiana",38.4917158,-87.2769576
1363,4009,Denfeld DNA Robotics,"Duluth, Minnesota",46.7729322,-92.1251218
1364,4011,πρbοtics   (Pi Robotics) ,"Aquinas , La Crosse, Wisconsin",43.8080553,-91.24010820470902
1365,4012,Bad News Bots,"St. Joseph By-the-Sea high school, Staten Island, New York",40.5248256,-74.17666586662808
1366,4013,Clockwork Mania,"Orlando, Florida",28.5421109,-81.3790304
1367,4014,Pixelators,"Stanford, California",37.426540700000004,-122.17030545534064
1368,4019,Mechanical Paradise,"Bridges Academy, Studio City, California",34.1416736,-118.3948018
1369,4020,Cyber Tribe,"Dobyns Bennett , Kingsport, Tennessee",36.53561045,-82.52818263137866
1370,4021,igKnightion,"Onalaska, Wisconsin",43.8830606,-91.2343539
1371,4024,TechnoSaints,"Winter Park, Florida",28.5977707,-81.3510264
1372,4026,Global Dynamics,"Decatur, Georgia",30.8736613,-84.5740953
1373,4027,Centre Punch,"4-H, State College, Pennsylvania",40.7944504,-77.8616386
1374,4028,The Beak Squad,"Cincinnati, Ohio",39.1014537,-84.5124602
1375,4034,Pelham πthons Team 4034,"Pelham , Pelham, New Hampshire",42.7736999,-71.3525633
1376,4041,Iron Tigers,"Gardiner Area , Gardiner, Maine",44.227580700000004,-69.78796929021513
1377,4043,NerdHerd,"Lafayette, Oregon",45.2441045,-123.1131631
1378,4048,Redshift,"Westborough , Westborough, Massachusetts",42.2695282,-71.6475009
1379,4049,Knoch Knights Robotics,"Saxonburg, Pennsylvania",40.7539956,-79.8103943
1380,4050,Biohazard,"Chambersburg, Pennsylvania",39.9405903,-77.6598624
1381,4054,Phoenix Robotics ,"Logan  & Central , La Crosse, Wisconsin",43.8430741,-91.246095
1382,4055,NRG,"Winchester, Connecticut",41.92485615,-73.059190325
1383,4056,Chancho's Robotics,"Mira Loma, California",33.98208635,-117.51535113578817
1384,4057,Klamath Basin Robotics - STEAMPUNK ,"Klamath Falls, Oregon",42.224867,-121.7816704
1385,4060,Bearcat Robotics,"Chehalis, Washington",46.6599653,-122.963432
1386,4061,SciBorgs,"Pullman, Washington",46.7304268,-117.173895
1387,4063,TriKzR4Kidz,"Del Rio , Del Rio, Texas",29.3623533,-100.902672
1388,4064,InZombiacs,"Ocala, Florida",29.1871986,-82.1400923
1389,4065,Nerds of Prey,"Lake Minneola , Minneola, Florida",28.574159,-81.76767074806016
1390,4068, Bearbotics,"Monument, Colorado",39.068728,-104.81942926787653
1391,4073,RoboKatz,"Carolina Forest , Myrtle Beach, South Carolina",33.74936835,-78.85415547965033
1392,4074,Shark Bytes,"St James , Murrells Inlet, South Carolina",33.616552549999994,-79.0529813195083
1393,4075,Robo Tigers,"Conway , Conway, South Carolina",33.7953292,-79.01274319680836
1394,4079,Quantum Leap,"Oxford Academy, Cypress, California",33.82227465,-118.0425419592904
1395,4080,Team Reboot,"Tucker, Georgia",33.85162905,-84.22374316732959
1396,4083,The Iron Wolverines,"Woodland , Dorchester, South Carolina",32.980727,-80.1984275
1397,4085,Technical Difficulties,"Reynoldsburg, Ohio",39.9547861,-82.8121191
1398,4087,Voodoo Voltage,"Benjamin Franklin , New Orleans, Louisiana",30.02469915,-90.06563047916397
1399,4089,Stealth Robotics,"Cedarcrest , Duvall, Washington",47.7356385,-121.9525544
1400,4093,Hardwired   ,"4-H, Orleans County, New York",43.2188079,-78.3966016
1401,4096,Ctrl-Z,"Champaign, Illinois",40.1164841,-88.2430932
