,teamNumber,nameShort,location,latitude,longitude
800,2498,BearBotics,"Minneapolis, Minnesota",44.9772995,-93.2654692
801,2499,Industrial Revolution 2499,"Hibbing , Hibbing, Minnesota",47.4221372,-92.92066863392921
802,2500,Herobotics,"Henry , Minneapolis, Minnesota",45.034415249999995,-93.305347625
803,2501,Bionic Polars,"North , North St. Paul, Minnesota",45.01490515,-92.99827099393178
804,2502,Talon Robotics,"Eden Prairie , Eden Prairie, Minnesota",44.8691301,-93.4848738
805,2503,Warrior Robotics,"Brainerd, Minnesota",46.3580221,-94.2008288
806,2504,The Governors,"Honolulu, Hawaii",21.304547,-157.855676
807,2506,Saber Robotics,"Franklin , Franklin, Wisconsin",42.8681209,-87.97844555908989
808,2508,Armada,"Stillwater Area , Stillwater, Minnesota",45.02993875,-92.84772920122353
809,2509,Tigerbots,"Hutchinson , Hutchinson , Minnesota",44.85893955,-94.38033308155683
810,2511,Cougars,"Lakeville South , Lakeville, Minnesota",44.642684700000004,-93.27323917357604
811,2512,Duluth East Daredevils,"Duluth East , Duluth, Minnesota",46.79901185,-92.0806420841949
812,2513,T.E.R.T.O.L.A.,"Edison , Minneapolis, Minnesota",45.0094009,-93.25268196138944
813,2515,MR.E,"Marshall , Marshall, Minnesota",44.45744485,-95.75923679578392
814,2518,Spartan Robotics,"Simley , Inver Grove Heights, Minnesota",44.833380149999996,-93.04183836245372
815,2521,SERT,"South Eugene , Eugene, Oregon",44.03773775,-123.085189057952
816,2522,Royal Robotics,"Bothell, Washington",47.7598697,-122.2068288
817,2523,Tech Storm,"St Johnsbury Academy, Saint Johnsbury, Vermont",44.41440495,-72.02044146744649
818,2525,The pHalcons,"Plymouth, Minnesota",45.0065149,-93.46651
819,2526,Crimson Robotics,"Osseo, Minnesota",45.1193908,-93.4024558
820,2530,Inconceivable,"Rochester, Minnesota",44.0234387,-92.4630182
821,2531,RoboHawks,"Chaska , Chaska, Minnesota",44.8085679,-93.584181
822,2532,FLASH Power,"Forest Lake Senior , Forest Lake, Minnesota",45.271318,-92.98811432616134
823,2534,Lumberjack Robotics,"Baltimore , Maryland",39.2908816,-76.610759
824,2537,Space RAIDers,"Atholton , Columbia, Maryland",39.1896909,-76.88123536859692
825,2538,The Plaid Pillagers,"Morris Area , Morris, Minnesota",45.58223185,-95.8999589316864
826,2539,Krypton Cougars,"Palmyra, Pennsylvania",40.3088578,-76.5932369
827,2543,TitanBot,"Eastlake , Chula Vista, California",32.6597767,-116.9789141
828,2544,HCRC,"Harborcreek, Pennsylvania",42.1663637,-79.9526796
829,2549,Millerbots,"Washburn , Minneapolis, Minnesota",44.9133631,-93.2817111389089
830,2550,Skynet,"Oregon City, Oregon",45.3573429,-122.6067583
831,2551,Penguin Empire,"San Marin , Novato, California",38.1235983,-122.5917654
832,2554,The WarHawks,"Edison, New Jersey",40.518157,-74.4113926
833,2556,RadioActive Roaches,"Niceville , Niceville, Florida",30.52137695,-86.5052816239881
834,2557,SOTAbots ,"Tacoma, Washington",47.2495798,-122.439874
835,2559,Normality Zero,"Harrisburg, Pennsylvania",40.2663107,-76.8861122
836,2560,RoboDog,"Grandview, Missouri",38.8898478,-94.5313816
837,2574,RoboHuskie,"St. Anthony, Minnesota",45.0283001,-93.2187368
838,2577,Pingry Robotics,"The Pingry School, Basking Ridge, New Jersey",40.6201242,-74.56772169043967
839,2579,LIC Robodogs,"Long Island City , Astoria, New York",40.76538245,-73.93303186837682
840,2582,PantherBots,"Lufkin , Lufkin, Texas",31.3439704,-94.7395974
841,2583,Orange Dynamite,"Westwood , Austin, Texas",30.456944200000002,-97.7982184269091
842,2584,Flame of The West,"Calabasas, California",34.1446643,-118.644097
843,2585,Impact,"Bellaire , Bellaire, Texas",29.7029431,-95.46912515042862
844,2586,Copper Bots,"Calumet , Calumet, Michigan",47.246592,-88.454006
845,2587,DiscoBots,"Houston, Texas",29.7589382,-95.3676974
846,2590,Nemesis,"Robbinsville , Robbinsville, New Jersey",40.218974,-74.6276275
847,2591,RedTails,"Detroit, Michigan",42.3315509,-83.0466403
848,2594,Naskcorpions,"Nampa, Idaho",43.5737361,-116.559631
849,2600,Team Falcon,"Oak Ridge, New Jersey",41.0462085,-74.4859898
850,2601,Steel Hawks,"Flushing, New York",40.7654301,-73.8174291
851,2603,Steel Stingers,"Highland , Medina, Ohio",41.149392,-81.869061
852,2604,Metal and Soul,"Capac , Capac, Michigan",43.0176194,-82.93432990130049
853,2605,Seamonsters ,"Bellingham School District, Bellingham, Washington",48.7537393,-122.4661200909365
854,2606,Irish Robotics,"Rosemount , Rosemount, Minnesota",44.7446881,-93.1324077
855,2607,The Fighting RoboVikings,"Archbishop Wood , Warminster, Pennsylvania",40.2090211,-75.0990658
856,2611,Jacktown Vectors,"Jackson, Michigan",42.2416466,-84.425589
857,2612,The Corsairs,"Waterford Mott , Waterford, Michigan",42.6571819,-83.34914549375534
858,2613,Protobots,"Van Horn, Texas",31.0429718,-104.831628
859,2614,Mountaineer Area RoboticS (MARS),"Morgantown, West Virginia",39.6296809,-79.9559437
860,2619,The Charge,"Herbert Henry Dow , Midland, Michigan",43.638151,-84.27594260214913
861,2620,Titans,"Thomas J Anderson , Southgate, Michigan",42.19037525,-83.2123642672654
862,2632,SteeleBots,"Steele , Amherst, Ohio",41.4030992,-82.2223774
863,2635,Lake Monsters,"Lakeridge  & Lake Oswego , Lake Oswego, Oregon",45.39763345,-122.6942682195446
864,2637,Phantom Catz,"Rolling Hills Estates, California",33.7877943,-118.3581284
865,2638,Rebel Robotics,"Great Neck South , Great Neck, New York",40.7644444,-73.7036111
866,2640,HOTBOTZ,"Reidsville, North Carolina",36.3548586,-79.6644748
867,2641,Pittsburgh Central Catholic Robotics,"Central Catholic , Pittsburgh, Pennsylvania",40.4461375,-79.94591461917813
868,2642,Pitt Pirates,"Greenville, North Carolina",35.613224,-77.3724593
869,2643,Dark Matter,"Santa Teresa , San Jose, California",37.2363413,-121.789321
870,2647,Cyborg Mustangs,"North , Phoenix, Arizona",33.6597612,-112.1465424
871,2648,Infinite Loop,"Messalonskee , Oakland, Maine",44.5736012,-69.6803056
872,2654,Polar Rams,"Roseau, Minnesota",48.7710371,-95.7697882
873,2655,The Flying Platypi,"Greensboro, North Carolina",36.0726355,-79.7919754
874,2656,Quasics,"Gateway , Monroeville, Pennsylvania",40.4315097,-79.75485317653293
875,2657,Team Thundercats,"Deming , Deming, New Mexico",32.2719247,-107.7543192
876,2658,Σ-Motion,"Rancho Bernardo , San Diego, California",33.0186103,-117.0610495
877,2659,RoboWarriors,"Bishop Alemany , Mission Hills, California",34.274459199999995,-118.45959335373831
878,2662,RoboKrew,"Tolleson, Arizona",33.4500497,-112.259309
879,2667,Knights of the Valley,"Apple Valley , Apple Valley, Minnesota",44.73189305,-93.24319596979167
880,2673,Tenacious Technicians,"Cass Technical , Detroit, Michigan",42.338562100000004,-83.06104006681142
881,2676,Ecorse Robo Raiders,"Ecorse Community , Ecorse, Michigan",42.251625450000006,-83.14876829715975
882,2682,Boneyard Robotics 2682,"Farmville, North Carolina",35.5954381,-77.5852496
784,2687,Team Apprentice,"Westlake , Austin, Texas",30.333757,-97.798637
772,2688,'Iolani Robotics,"Iolani School, Honolulu, Hawaii",21.285184700000002,-157.82396087163966
784,2689,Team Alpha ,"Westlake , Austin, Texas",30.333757,-97.798637
886,2704,Roaring Robotics,"Naperville, Illinois",41.7728699,-88.1479278
887,2707,Viking Robotics,"Normandy , Saint Louis, Missouri",38.7208842,-90.2973359
888,2710,JetStream 2710,"Rancho Palos Verdes, California",33.7483311,-118.3707683
889,2712,Power Surge 4-H Robotics,"4-H, Waterbury, Connecticut",41.2830875,-72.398401
890,2713,Red Hawk Robotics,"Melrose , Melrose, Massachusetts",42.4475629,-71.0762683
891,2714,♨️ BBQ ♨️,"Dallas, Texas",32.7762719,-96.7968559
892,2716,Ranger Force,"Spencerport , Spencerport, New York",43.190684250000004,-77.79870114203618
893,2718,Team OKC e'possums (Σ 1/n! x 10^3),"4-H, Oklahoma City, Oklahoma",35.4729886,-97.5170536
894,2720,Red Watch Robotics,"Lenape , Medford, New Jersey",39.92097855,-74.85456484193821
895,2722,Charge Robotics,"Marlton, New Jersey",39.9005585,-74.93389105589023
896,2723,Team Rocket,"Oklahoma City, Oklahoma",35.4729886,-97.5170536
897,2725,Ice Princesses,"Chicago, Illinois",41.8755616,-87.6244212
898,2729,Storm Robotics Team,"Marlton, New Jersey",39.9005585,-74.93389105589023
899,2733,Pigmice,"Cleveland , Portland, Oregon",45.498540649999995,-122.63861717360453
900,2767,Stryke Force,"Kalamazoo County 4-h, Kalamazoo, Michigan",42.291707,-85.5872286
901,2771,Code Red Robotics the Stray Dogs,"Grandville, Michigan",42.909598,-85.7630956
902,2773,IronDogz,"Edmond Memorial , Edmond, Oklahoma",35.6370936,-97.46878515
903,2783,Engineers of Tomorrow ,"Crestwood, Kentucky",38.3235441,-85.4726215
904,2785,Prometheus,"Kent School, Kent, Connecticut",41.72734025,-73.48653330890248
905,2789,TEXPLOSION,"Manor, Texas",30.3420882,-97.555905
906,2791,Shaker Robotics,"Shaker , Latham, New York",42.7360599,-73.74883539530168
907,2795,Ohm's Claw,"Broken Arrow, Oklahoma",36.0525993,-95.7908195
908,2797,Knight & Nerdy,"East Ridge , Clermont, Florida",28.5389412,-81.71946783938708
909,2805,Ghost in the Machine,"Waxahachie Global , Waxahachie, Texas",32.4108721,-96.83765385387554
910,2811,StormBots,"Skyview , Vancouver, Washington",45.7235545,-122.68480915305847
911,2813,Gear Heads,"Prospect , Saratoga, California",37.291253299999994,-121.99984417752293
912,2815,Blue Devil Mechanics,"Dreher , Columbia, South Carolina",33.9825113,-81.09632026954273
913,2819,Team Dynamite,"Oxon Hill , Oxon Hill, Maryland",38.784824900000004,-76.9694015528087
914,2823,The Automatons,"Saint Paul, Minnesota",44.9497487,-93.0931028
915,2825,Roc Robotics,"Saint Paul, Minnesota",44.9497487,-93.0931028
916,2826,Wave Robotics,"Oshkosh, Wisconsin",44.0206919,-88.5408574
917,2827,The Tiki Bots,"Coronado , Coronado, California",32.6255362,-117.1377057
918,2830,Riverside RoboTigers,"Milwaukee, Wisconsin",43.0349931,-87.922497
919,2832,The Livonia  Warriors,"Livonia, Michigan",42.36837,-83.3527097
920,2834,Bionic Black Hawks,"Bloomfield Hills , Bloomfield Twp, Michigan",42.578367,-83.2860446
921,2836,Team Beta,"Nonnewaug , Woodbury, Connecticut",41.55933895,-73.1927563614791
922,2839,Daedalus,"Escondido Charter , Escondido, California",33.13760755,-117.05493483603667
923,2840,PCDS Blue Tide,"Phoenix Country Day School, Paradise Valley, Arizona",33.5150512,-111.99752303631846
924,2846,FireBears,"Saint Paul, Minnesota",44.9497487,-93.0931028
925,2847,The MegaHertz,"Fairmont , Fairmont, Minnesota",43.6680108,-94.4433048
926,2848,Rangers,"Dallas, Texas",32.7762719,-96.7968559
927,2849,Ursa Major,"Hammond , Columbia, Maryland",39.1670556,-76.85917976559631
928,2851,Crevolution,"Sterling Heights, Michigan",42.5803122,-83.0302033
929,2853,Hot Spot Robotics,"Mililani , Mililani, Hawaii",21.4461798,-158.01503287317823
930,2854,The Prototypes,"San Jose, California",37.3361663,-121.890591
931,2855,BEASTBOT,"Como Park Senior , Saint Paul, Minnesota",44.975877800000006,-93.13126619063019
932,2856,Planetary Drive,"Lexington, Kentucky",38.0464066,-84.4970393
933,2861,Infinity's End,"Lake City, Minnesota",44.4478474,-92.2678663
934,2867,ElkLogics,"Elkhart , Elkhart, Indiana",41.6819935,-85.9766671
935,2869,Regal Eagles,"Bethpage , Bethpage, New York",40.7432812,-73.4838143
936,2872,CyberCats,"Wheatley School, Old Westbury, New York",40.7623199,-73.6157411
937,2875,CyberHawks,"Cold Spring Harbor Jr Sr HS, Cold Spring Harbor, New York",40.864214000000004,-73.45457477287766
938,2876,Devilbotz,"Burlington , Burlington, Massachusetts",42.4980618,-71.19816436098112
939,2877,LigerBots,"West Newton, Massachusetts",42.3494088,-71.2262659
940,2879,Oriole Robotics,"Saint Louis Park, Minnesota",44.9475726,-93.3569023
941,2881,Lady Cans,"Austin, Texas",30.2711286,-97.7436995
942,2882,Nuts n' Boltz,"Morton Ranch , Katy, Texas",29.816897,-95.8089931
943,2883,F.R.E.D (FIRST Robotics Engineering and Design),"Warroad , Warroad, Minnesota",48.9034308,-95.3073895
944,2890,The Hawk Collective,"Hickory , Chesapeake, Virginia",36.6320951,-76.2079919
945,2895,Blazenbots,"Far Rockaway, New York",40.6053825,-73.7551326
946,2896,MechaMonarchs,"Honolulu, Hawaii",21.304547,-157.855676
472,2898,Flying Hedgehogs,"Portland, Oregon",45.5202471,-122.674194
948,2900,The Mighty Penguins,"Washington, District of Columbia",38.8950368,-77.0365427
949,2903,NeoBots,"Arlington , Arlington, Washington",38.8857686,-77.0955536
950,2906,Sentinel Prime Robotics,"Spanaway Lake , Spanaway, Washington",47.11117765,-122.44884597057603
951,2907,Lion Robotics,"Auburn, Washington",47.3075369,-122.2301808
952,2909,Zebra Bots,"Rochester, Indiana",41.0648846,-86.2159959
953,2910,Jack in the Bot,"Henry M Jackson , Mill Creek, Washington",47.873550449999996,-122.209648650791
